total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,3,SCERBATIHS Viktors,14923,1974-06-10,33.3,M,LAT,A,141.53,+105 kg Men,0,1,11,76th MEN's and 19th WOMEN's WORLD CHAMPIONSHIPS,2007-09-14,-197,197,202,202,240,-247,NA,240,442
2,2,1,CHIGISHEV Evgeny,3409,1979-05-28,28.3,M,RUS,A,123.77,+105 kg Men,0,1,11,76th MEN's and 19th WOMEN's WORLD CHAMPIONSHIPS,2007-09-14,201,-206,-206,201,240,-250,-250,240,441
3,4,2,SALEM Jaber Saed,14609,1975-01-03,32.7,M,QAT,A,124.6,+105 kg Men,0,1,11,76th MEN's and 19th WOMEN's WORLD CHAMPIONSHIPS,2007-09-14,-195,195,-200,195,231,240,-243,240,435
4,3,4,CHOLAKOV Velichko,3490,1982-01-12,25.7,M,BUL,A,165.38,+105 kg Men,0,1,11,76th MEN's and 19th WOMEN's WORLD CHAMPIONSHIPS,2007-09-14,192,-198,201,201,225,234,-237,234,435
5,6,5,UDACHYN Artem,16908,1980-03-26,27.5,M,UKR,A,148.77,+105 kg Men,0,1,11,76th MEN's and 19th WOMEN's WORLD CHAMPIONSHIPS,2007-09-14,195,-200,-200,195,232,-241,-241,232,427
6,5,6,PAPAGERIDIS Dimitrios,12712,1986-04-11,21.4,M,GRE,A,136.58,+105 kg Men,0,1,11,76th MEN's and 19th WOMEN's WORLD CHAMPIONSHIPS,2007-09-14,190,195,-198,195,225,-231,231,231,426
7,7,7,KLESZCZ Grzegorz,8526,1977-11-12,29.8,M,POL,A,128.7,+105 kg Men,0,1,11,76th MEN's and 19th WOMEN's WORLD CHAMPIONSHIPS,2007-09-14,185,-190,190,190,230,-237,-238,230,420
8,13,8,SHARIFI SEDEH Rashid,15211,1984-09-21,23,M,IRI,A,139.31,+105 kg Men,0,1,11,76th MEN's and 19th WOMEN's WORLD CHAMPIONSHIPS,2007-09-14,180,-188,-188,180,220,230,-235,230,410
9,9,9,SALEHI SHARAFDARKALAEI Mohammad,14603,1983-05-06,24.4,M,IRI,A,134.51,+105 kg Men,0,1,11,76th MEN's and 19th WOMEN's WORLD CHAMPIONSHIPS,2007-09-14,175,183,-190,183,215,225,-231,225,408
10,10,10,MASSOUD Mohamed Ehsan Attia,10475,1984-01-11,23.7,M,EGY,A,147.74,+105 kg Men,0,1,11,76th MEN's and 19th WOMEN's WORLD CHAMPIONSHIPS,2007-09-14,175,183,-190,183,225,-233,-235,225,408
