total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,NA,NA,ARTEAGA GARCIA Julio Cesar,1427,1986-03-09,24.6,M,ECU,A,133.74,+105 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,164,0,0,0,223,387
2,NA,NA,CARL Henriquez,2935,1979-08-08,31.2,M,ARU,A,145.44,+105 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,127,0,0,0,155,282
3,NA,NA,BONILLA Javier,2393,1986-10-24,24,M,PUR,A,112.76,+105 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,129,0,0,0,152,281
4,NA,NA,RUIZ VAZQUEZ Juan Carlos,14242,1993-05-26,17.4,M,ESP,A,113.22,+105 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,125,0,0,0,154,279
5,NA,NA,CARLOS Cardona,2938,1989-12-18,20.9,M,PUR,A,130.26,+105 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,115,0,0,0,157,272
6,NA,NA,HERIBERTO Rivera,6557,1993-11-03,17,M,PUR,A,133.74,+105 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,100,0,0,0,120,220
NA,NA,NA,JOSE Cruz,7581,1988-09-12,22.1,M,PUR,A,172.38,+105 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,150,0,0,0,NA,NA
1,NA,NA,CARVAJAL DE LA ROSA Maria Lustiliana,2972,1978-05-24,32.4,W,DOM,A,88.24,+75 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,95,0,0,0,121,216
2,NA,NA,VALDES PARIS Maria Fernanda,16915,1992-03-17,18.6,W,CHI,A,77.56,+75 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,90,0,0,0,120,210
3,NA,NA,NUBIA Gomez,11975,1990-09-29,20.1,W,PUR,A,102.26,+75 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,75,0,0,0,95,170
4,NA,NA,MARIA Mejias,10211,1984-03-14,26.6,W,PUR,A,85.32,+75 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,70,0,0,0,87,157
5,NA,NA,ROSALEMY Igartua,14127,1984-11-12,26,W,PUR,A,143.9,+75 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,68,0,0,0,87,155
6,NA,NA,COLON REYES Julynette,3625,1994-03-11,16.6,W,PUR,A,83.26,+75 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,56,0,0,0,75,131
7,NA,NA,LILLY Irizarry,9417,1993-04-07,17.6,W,PUR,A,78.28,+75 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,55,0,0,0,65,120
1,NA,NA,HOLGUIN Carlos,6735,1973-01-29,37.7,M,DOM,A,102.6,105 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,150,0,0,0,165,315
2,NA,NA,HERNANDEZ Pablo,6602,1990-01-01,20.8,M,CHI,A,104.88,105 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,121,0,0,0,170,291
3,NA,NA,MARCIAL Juan Carlos,10193,1979-08-26,31.2,M,PUR,A,104.12,105 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,115,0,0,0,163,278
4,NA,NA,CHRISTOPHER Zayas,3493,1991-04-25,19.5,M,PUR,A,104.06,105 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,115,0,0,0,143,258
5,NA,NA,ANGEL Tavares,1204,1983-04-13,27.5,M,PUR,A,102.8,105 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,110,0,0,0,135,245
6,NA,NA,JOSE Morales,7582,1991-12-31,18.8,M,PUR,A,103.26,105 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,105,0,0,0,115,220
1,NA,NA,JUAN TELLO Estefania,7602,1981-08-17,29.2,W,ESP,A,47.58,48 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,65,0,0,0,93,158
2,NA,NA,ORTIZ RIVERA Nelmilyes,12317,1994-03-19,16.6,W,PUR,A,47.66,48 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,52,0,0,0,62,114
3,NA,NA,GUZMAN PEREZ Gilyeliz Saned,6197,1996-10-28,14,W,PUR,A,47.56,48 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,43,0,0,0,56,99
4,NA,NA,BEVERLY Pacheco,2224,1988-03-09,22.6,W,PUR,A,47.1,48 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,42,0,0,0,53,95
1,NA,NA,WIDALYS Arroyo,17488,1977-03-24,33.6,W,PUR,A,52.94,53 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,65,0,0,0,85,150
2,NA,NA,BATCHELOR Cortney Christine,1950,1991-05-09,19.5,W,USA,A,52.9,53 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,65,0,0,0,82,147
3,NA,NA,EIRYMAR Sosa,4640,1989-02-14,21.7,W,PUR,A,51.76,53 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,60,0,0,0,70,130
4,NA,NA,YESENIA Ruemmele,17847,1977-03-16,33.6,W,PUR,A,50.96,53 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,55,0,0,0,65,120
5,NA,NA,AVILES CRUZ Joan,1594,1993-03-10,17.6,W,PUR,A,51.08,53 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,50,0,0,0,70,120
1,NA,NA,OTERO MARTINEZ Michael Steven,12358,1990-07-29,20.2,M,ESP,A,56,56 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,95,0,0,0,120,215
2,NA,NA,ANIBAL Miranda,1224,1988-02-14,22.7,M,PUR,A,54.82,56 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,75,0,0,0,88,163
3,NA,NA,XOEL Casillas,17661,1991-08-14,19.2,M,PUR,A,55.12,56 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,73,0,0,0,90,163
4,NA,NA,BRIAN Maldonado,2536,1992-10-31,18,M,PUR,A,54,56 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,65,0,0,0,87,152
NA,NA,NA,LUIS Lebron Colon,9777,1995-09-01,15.1,M,PUR,A,56,56 kg Men,1,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,NA,0,0,0,NA,NA
1,NA,NA,ESCOBAR GUERRERO Maria Alexandra,4848,1980-07-17,30.3,W,ECU,A,57.6,58 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,95,0,0,0,124,219
2,NA,NA,RIVERA MARTINEZ Rizelyx,13900,1987-09-02,23.1,W,USA,A,57.5,58 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,85,0,0,0,102,187
3,NA,NA,TURNBULL Samantha,16716,1988-05-01,22.5,W,USA,A,57.64,58 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,73,0,0,0,95,168
4,NA,NA,PITER Jennifer Desiree Melinda,13063,1983-01-16,27.8,W,ARU,A,57.64,58 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,60,0,0,0,83,143
5,NA,NA,MARICARMEN Aviles,10214,1992-09-13,18.1,W,PUR,A,54.1,58 kg Women,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,50,0,0,0,60,110
1,NA,NA,GIOVANI Gonzalez,5693,1991-11-27,18.9,M,PUR,A,61.96,62 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,95,0,0,0,112,207
2,NA,NA,DAVID Jhoo,3968,1992-03-06,18.6,M,USA,A,61.92,62 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,85,0,0,0,105,190
3,NA,NA,JUAN Vargas,7603,1984-04-12,26.5,M,PUR,A,60.18,62 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,80,0,0,0,107,187
4,NA,NA,FELIX Velazquez,5082,1991-03-30,19.6,M,PUR,A,60.52,62 kg Men,0,1,122,CRIOLLO CUP AND IBEROAMERICAN CUP,2010-10-25,0,0,0,65,0,0,0,85,150
