total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,NA,NA,MOHAMED Ahmed Mohamed Abdelaziz,11147,1988-04-27,27.6,M,EGY,A,140.9,+105 kg Men,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,170,0,0,0,230,400
2,NA,NA,AHMED ALI Mahmoud Ahmed,382,1992-08-18,23.3,M,EGY,A,143.2,+105 kg Men,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,165,0,0,0,200,365
3,NA,NA,SANOUNE Hamza,14839,1984-12-18,31,M,ALG,A,128.6,+105 kg Men,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,152,0,0,0,185,337
4,NA,NA,ALMARRI Hamdan Hamad S A,889,1996-09-24,19.2,M,QAT,A,112,+105 kg Men,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,75,0,0,0,95,170
1,NA,NA,HARIDY Shaimaa Ahmed Khalaf,6463,1991-01-01,25,W,EGY,A,121.95,+75 kg Women,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,120,0,0,0,157,277
2,NA,NA,JLASSI Marwa,7630,1991-09-25,24.2,W,TUN,A,122.1,+75 kg Women,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,91,0,0,0,115,206
3,NA,NA,ALI Rola Khaled Abdeljmil,798,1993-07-14,22.4,W,JOR,A,118.65,+75 kg Women,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,85,0,0,0,100,185
4,NA,NA,ALMHEIRI Sara Malfi Khamis Aldehail,912,1997-07-21,18.4,W,UAE,A,90.9,+75 kg Women,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,45,0,0,0,55,100
1,NA,NA,MOHAMED Gaber Ahmed Farhan,11154,1985-09-01,30.3,M,EGY,A,104.1,105 kg Men,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,161,0,0,0,192,353
2,NA,NA,MAHMOUD Fathi,10103,1992-01-01,24,M,ALG,A,99.7,105 kg Men,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,136,0,0,0,168,304
3,NA,NA,ALKHAWALDEH Raad Khalaf Talal,860,1993-11-25,22.1,M,JOR,A,102.6,105 kg Men,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,136,0,0,0,165,301
NA,NA,NA,JUGHELI Ahed,7734,1982-10-10,33.2,M,SYR,A,102.6,105 kg Men,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,NA,0,0,0,204,NA
1,NA,NA,AHMED Heba Saleh Mahmoud,390,1996-07-03,19.5,W,EGY,A,48,48 kg Women,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,70,0,0,0,86,156
2,NA,NA,LANDOULSI Nouha,9186,1998-05-05,17.6,W,TUN,A,48,48 kg Women,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,62,0,0,0,85,147
3,NA,NA,MADANI Khalood Abdulla Essa Ahmad,10045,1996-10-07,19.2,W,UAE,A,47.5,48 kg Women,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,44,0,0,0,51,95
1,NA,NA,MAHMOUD Amal Mohamed,10101,1993-11-23,22.1,W,EGY,A,52.8,53 kg Women,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,67,0,0,0,90,157
1,NA,NA,FENNI Rida,5180,1996-07-06,19.4,M,ALG,A,55.6,56 kg Men,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,85,0,0,0,110,195
2,NA,NA,AL-MARRI Qassim Ali M A,597,1998-06-25,17.5,M,QAT,A,52.8,56 kg Men,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,40,0,0,0,45,85
1,NA,NA,BELKHIR Ghofrane,2113,2001-08-11,14.3,W,TUN,A,56.6,58 kg Women,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,70,0,0,0,87,157
2,NA,NA,ALBALOOSHI Ayesha Shahriyar Mohammed S,666,1992-01-23,23.9,W,UAE,A,56.7,58 kg Women,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,66,0,0,0,88,154
1,NA,NA,IBRAHIM Mostafa Atef Ahmed,7157,1993-07-12,22.4,M,EGY,A,61.9,62 kg Men,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,120,0,0,0,140,260
2,NA,NA,FENNI Amor,5179,1993-10-01,22.2,M,ALG,A,61.6,62 kg Men,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,110,0,0,0,135,245
3,NA,NA,BUDEBS Ahmad Jassim Abdulla Ali,2650,1997-08-31,18.3,M,UAE,A,61.3,62 kg Men,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,85,0,0,0,100,185
1,NA,NA,AHMED Esraa Elsayed Rashed Elsayed,385,1998-11-21,17.1,W,EGY,A,62.2,63 kg Women,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,90,0,0,0,105,195
2,NA,NA,SOBH Thuraia,15711,1986-01-04,29.9,W,SYR,A,62.3,63 kg Women,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,75,0,0,0,90,165
3,NA,NA,HAMMOU Kheira,6390,1997-03-08,18.8,W,ALG,A,59.3,63 kg Women,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,57,0,0,0,78,135
4,NA,NA,ALMADANI Mai Ahmad Essa Ahmad,877,2001-07-26,14.4,W,UAE,A,60.4,63 kg Women,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,52,0,0,0,56,108
1,NA,NA,FOUDA Yassin Abdalla Ibrahim Mohamed,5356,1990-09-13,25.3,M,EGY,A,68.9,69 kg Men,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,136,0,0,0,152,288
2,NA,NA,BEN EHMIDA Ehsssine,2128,1996-11-18,19.1,M,TUN,A,68.8,69 kg Men,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,126,0,0,0,150,276
3,NA,NA,ALJASSEM Mah Said,846,1992-01-01,24,M,SYR,A,68.6,69 kg Men,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,126,0,0,0,141,267
4,NA,NA,ZAINIK Khireddine,18268,1989-01-01,27,M,ALG,A,66,69 kg Men,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,112,0,0,0,130,242
5,NA,NA,MOHAMMED Abujumma,11194,1993-01-01,23,M,JOR,A,68.1,69 kg Men,0,1,348,ARAB CHAMPIONSHIPS,2015-12-15,0,0,0,105,0,0,0,130,235
