total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,TALAKHADZE Lasha,15842,1993-10-02,29.9,M,GEO,A,177.37,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,208,215,220,220,245,253,-260,253,473
2,3,4,LALAYAN Varazdat,8871,1999-05-01,24.3,M,ARM,A,155.2,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,205,212,-217,212,242,248,-255,248,460
3,2,5,MINASYAN Gor,10664,1994-10-25,28.9,M,BRN,A,154.04,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,205,213,-220,213,240,246,-253,246,459
4,4,3,DAVOUDI Ali,3924,1999-03-22,24.5,M,IRI,A,176.5,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,-195,195,203,203,240,249,-255,249,452
5,6,2,MARTIROSYAN Simon,10174,1997-02-17,26.5,M,ARM,A,130.21,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,195,200,-205,200,240,250,-255,250,450
6,5,7,ZIAZIULIN Eduard,17934,1998-10-29,24.8,M,AIN,A,144.58,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,-200,-201,201,201,230,-240,-243,230,431
NA,8,NA,SHARIFIKELARIJANI Ayat,14833,2000-12-05,22.7,M,IRI,A,157.12,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,192,-199,-202,192,-233,-233,-242,NA,NA
NA,NA,NA,DJANGABAEV Rustam,4258,1993-08-25,30,M,UZB,A,164.93,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7,11,RUBAIAWI Ali Ammar Yusur,13967,2004-08-02,19.1,M,IRQ,B,127.35,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,185,190,198,198,221,-228,-231,221,419
8,18,6,LEE Jaesang,9040,1994-09-11,29,M,KOR,B,135.8,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,170,-175,175,175,227,-241,241,241,416
9,12,8,LITI David Andrew,9349,1996-07-11,27.2,M,NZL,B,183.71,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,174,178,181,181,-224,-224,226,226,407
10,13,9,SEIM Mart,14652,1990-10-24,32.9,M,EST,B,146.87,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,175,180,-185,180,-225,225,-232,225,405
11,11,12,MURAKAMI Eishiro,11221,1995-08-08,28.1,M,JPN,B,146.27,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,176,181,-185,181,220,-225,-231,220,401
12,10,14,TURMANIDZE Bakari,16454,1995-03-29,28.4,M,GEO,B,165,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,176,181,185,185,214,-220,-221,214,399
14,17,13,TOYCHYYEV Hojamuhammet,16286,1992-01-16,31.6,M,TKM,B,151.7,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,175,-180,-181,175,-215,-215,215,215,390
NA,9,NA,JO Seongbin,7386,1994-10-19,28.9,M,KOR,B,139.72,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,180,189,191,191,-221,-222,-222,NA,NA
NA,NA,NA,KUCERA Kamil,8654,1985-03-19,38.5,M,CZE,B,153.5,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,-175,-175,-176,NA,NA,NA,NA,NA,NA
NA,NA,NA,BIDANI Walid,2202,1994-06-11,29.2,M,ALG,B,144.8,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,14,17,HANZENKO Oleh,6225,1999-12-10,23.7,M,UKR,C,157.58,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,173,179,-184,179,-210,-210,211,211,390
15,23,10,COULLET Anthony Jean Pierre,3643,1997-01-10,26.6,M,FRA,C,154.25,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,160,-165,165,165,205,215,222,222,387
16,16,16,WILKES Caine Morgan,17230,1987-07-10,36.2,M,USA,C,156.32,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,165,170,175,175,203,211,-216,211,386
17,15,18,MAO Sanele,10007,1985-09-09,38,M,SAM,C,132.66,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,170,175,-180,175,210,-217,-220,210,385
18,22,15,"NAGY Peter",11338,1986-01-16,37.6,M,HUN,C,159.96,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,162,-168,168,168,205,213,-219,213,381
19,21,19,MEDINA Alejandro Jose,10387,1996-03-13,27.5,M,USA,C,133.06,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,165,170,-175,170,203,-210,-217,203,373
20,24,20,LITVINOV David,9355,1993-09-23,29.9,M,ISR,C,133.74,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,155,161,-166,161,-195,195,200,200,361
22,26,21,HOLME Ragnar Gamlestoel,6623,2001-06-19,22.2,M,NOR,C,136.52,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,-157,157,-163,157,195,-200,NA,195,352
NA,19,NA,KAJDOCI Tamas,7580,1997-04-21,26.4,M,SRB,C,140.94,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,165,172,-177,172,NA,NA,NA,NA,NA
NA,25,NA,JIN Cheng,7374,1995-08-22,28,M,TPE,C,145.62,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,150,160,-170,160,-190,-190,NA,NA,NA
NA,NA,NA,MICHALSKI Arkadiusz,10591,1990-01-07,33.7,M,POL,C,118.69,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,-168,-168,-171,NA,NA,NA,NA,NA,NA
21,20,23,LEMUS CALANCHE Gilberto Antonio,9113,1994-02-04,29.6,M,GUA,D,128.5,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,160,170,-175,170,-190,190,-200,190,360
23,27,22,AL RADHI Hassan Asaad M,526,2001-02-03,22.6,M,KSA,D,136.9,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,145,152,156,156,182,190,-195,190,346
24,28,24,BOUAMR Bilal,2399,2004-03-03,19.5,M,MAR,D,126.6,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,150,-156,-157,150,180,186,-190,186,336
25,29,25,RAJIC Krizan,13273,1996-12-20,26.7,M,CRO,D,132.5,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,140,145,-150,145,170,175,179,179,324
26,30,26,TURKMEN Fazal Karim,16451,1998-01-06,25.7,M,AFG,D,151.72,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,130,135,140,140,170,-175,178,178,318
27,31,27,KAGISO Bokang Alphius,7564,1997-03-30,26.4,M,BOT,D,117.16,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,-120,120,NA,120,145,NA,NA,145,265
28,32,28,MURATBYEK Bakhbyergyen,11224,1996-04-09,27.4,M,MGL,D,122,+109 kg Men,0,0,577,2023 IWF World Championships,2023-09-04,105,108,-111,108,133,138,-142,138,246
