total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,NA,NA,NA,NA,1994-10-25,28.9,NA,BRN,A,153.68,+109 kg Men,0,0,582,19th Asian Games,2023-09-30,205,212,NA,212,235,245,NA,245,457
2,NA,NA,DAVOUDI Ali,4042,1999-03-22,24.5,M,IRI,A,174.12,+109 kg Men,0,0,582,19th Asian Games,2023-09-30,192,-200,-200,192,234,-246,NA,234,426
3,NA,NA,DJANGABAEV Rustam,4383,1993-08-25,30.1,M,UZB,A,167.1,+109 kg Men,0,0,582,19th Asian Games,2023-09-30,185,-190,190,190,226,233,NA,233,423
4,NA,NA,LEE Jaesang,9262,1994-09-11,29.1,M,KOR,A,135.25,+109 kg Men,0,0,582,19th Asian Games,2023-09-30,170,177,-182,177,-220,223,NA,223,400
5,NA,NA,TOYCHYYEV Hojamuhammet,16670,1992-01-16,31.7,M,TKM,A,153.12,+109 kg Men,0,0,582,19th Asian Games,2023-09-30,170,177,-182,177,215,222,-225,222,399
6,NA,NA,BUTT Muhammad Abdullah,2721,1996-05-05,27.4,M,PAK,A,132.14,+109 kg Men,0,0,582,19th Asian Games,2023-09-30,-145,145,-152,145,-190,190,-200,190,335
7,NA,NA,BHANDARI Sagar,2255,2001-11-07,21.9,M,NEP,A,118.38,+109 kg Men,0,0,582,19th Asian Games,2023-09-30,125,-133,133,133,161,170,-175,170,303
8,NA,NA,BERSANOV Ibragim,2209,1992-10-25,30.9,M,KAZ,A,116.67,+109 kg Men,0,0,582,19th Asian Games,2023-09-30,130,NA,NA,130,150,NA,NA,150,280
NA,NA,NA,SHARIFIKELARIJANI Ayat,15192,2000-12-05,22.8,M,IRI,A,158.13,+109 kg Men,0,0,582,19th Asian Games,2023-09-30,185,-193,-193,185,NA,NA,NA,NA,NA
1,NA,NA,PARK Hyejeong,12751,2003-03-12,20.6,W,KOR,A,136.65,+87 kg Women,0,0,582,19th Asian Games,2023-09-30,118,123,125,125,157,160,169,169,294
2,NA,NA,SON Younghee,15670,1993-04-24,30.4,W,KOR,A,115.98,+87 kg Women,0,0,582,19th Asian Games,2023-09-30,115,120,124,124,155,159,-169,159,283
3,NA,NA,CHAIDEE Duangaksorn,3139,1997-08-11,26.1,W,THA,A,114.13,+87 kg Women,0,0,582,19th Asian Games,2023-09-30,115,118,120,120,147,155,-158,155,275
4,NA,NA,AKMAL Nurul,459,1993-02-12,30.6,W,INA,A,125.9,+87 kg Women,0,0,582,19th Asian Games,2023-09-30,105,110,115,115,-145,145,146,146,261
5,NA,NA,JABBOROVA Tursunoy,7326,2002-03-04,21.6,W,UZB,A,101.08,+87 kg Women,0,0,582,19th Asian Games,2023-09-30,110,115,118,118,135,142,-145,142,260
6,NA,NA,SANSYZBAYEVA Aisamal,14747,2003-07-08,20.2,W,KAZ,A,118.66,+87 kg Women,0,0,582,19th Asian Games,2023-09-30,105,110,-113,110,130,135,138,138,248
1,NA,NA,LIU Huanhua,9597,2001-08-20,22.1,M,CHN,A,100.8,109 kg Men,0,0,582,19th Asian Games,2023-09-30,-175,180,185,185,215,227,233,233,418
2,NA,NA,DJURAEV Akbar,4386,1999-10-08,24,M,UZB,A,109,109 kg Men,0,0,582,19th Asian Games,2023-09-30,180,184,189,189,-220,222,228,228,417
3,NA,NA,NURUDINOV Ruslan,12106,1991-11-24,31.8,M,UZB,A,109,109 kg Men,0,0,582,19th Asian Games,2023-09-30,-175,175,-178,175,216,NA,NA,216,391
4,NA,NA,JANG Yeonhak,7383,1997-02-14,26.6,M,KOR,A,104,109 kg Men,0,0,582,19th Asian Games,2023-09-30,-175,175,180,180,-210,210,-216,210,390
5,NA,NA,KARAMI Mehdi,7914,1996-10-15,27,M,IRI,A,109,109 kg Men,0,0,582,19th Asian Games,2023-09-30,170,-176,-176,170,-210,210,-222,210,380
NA,NA,NA,ALAIFURI Salwan Jasim Abbood,630,1991-09-26,32,M,IRQ,A,108,109 kg Men,0,0,582,19th Asian Games,2023-09-30,-175,-175,175,175,-211,-211,-217,NA,NA
NA,NA,NA,DEHDAR Reza,4143,1995-07-02,28.2,M,IRI,A,101,109 kg Men,0,0,582,19th Asian Games,2023-09-30,-169,-170,-175,NA,NA,NA,NA,NA,NA
NA,NA,NA,JIN Yunseong,7569,1995-10-11,28,M,KOR,A,104,109 kg Men,0,0,582,19th Asian Games,2023-09-30,-170,-170,-170,NA,NA,NA,NA,NA,NA
NA,NA,NA,DAVRANBEK Hasanbayev,4043,2000-12-24,22.8,M,TKM,A,99.2,109 kg Men,0,0,582,19th Asian Games,2023-09-30,-175,-178,-178,NA,NA,NA,NA,NA,NA
6,NA,NA,ALKHAZAL Ali Ahmed A,858,1998-08-21,25.1,M,KSA,B,104.51,109 kg Men,0,0,582,19th Asian Games,2023-09-30,150,155,-160,155,180,NA,NA,180,335
7,NA,NA,ALSALLAJ Asem Mousa Husam,986,2004-06-10,19.3,M,JOR,B,100.51,109 kg Men,0,0,582,19th Asian Games,2023-09-30,135,140,-147,140,180,185,188,188,328
8,NA,NA,RATHORE Usman Amjad,13729,1987-01-10,36.7,M,PAK,B,108.78,109 kg Men,0,0,582,19th Asian Games,2023-09-30,-130,130,-135,130,160,172,176,176,306
1,NA,NA,RI Song Gum,13912,1997-10-17,26,W,PRK,A,49,49 kg Women,0,0,582,19th Asian Games,2023-09-30,-90,92,-95,92,117,122,124,124,216
2,NA,NA,JIANG Huihua,7536,1998-01-22,25.7,W,CHN,A,49,49 kg Women,0,0,582,19th Asian Games,2023-09-30,88,92,94,94,111,117,119,119,213
3,NA,NA,SUKCHAROEN Thanyathon,15970,1997-04-21,26.4,W,THA,A,49,49 kg Women,0,0,582,19th Asian Games,2023-09-30,86,88,90,90,105,107,109,109,199
4,NA,NA,MIRABAI Chanu Saikhom,10942,1994-08-08,29.1,W,IND,A,48.95,49 kg Women,0,0,582,19th Asian Games,2023-09-30,83,-86,-86,83,108,-117,-117,108,191
5,NA,NA,RAMOS Rosegie,13683,2003-12-15,19.8,W,PHI,A,48.35,49 kg Women,0,0,582,19th Asian Games,2023-09-30,83,85,87,87,100,-103,103,103,190
6,NA,NA,PHAM Dinh Thi,13046,2001-05-10,22.4,W,VIE,A,48.88,49 kg Women,0,0,582,19th Asian Games,2023-09-30,77,80,83,83,97,101,-104,101,184
7,NA,NA,LIN Cheng Jing,9513,2000-01-20,23.7,W,TPE,A,49,49 kg Women,0,0,582,19th Asian Games,2023-09-30,80,-83,-83,80,101,-105,-105,101,181
8,NA,NA,AJIMA Chiaki,424,1996-07-18,27.2,W,JPN,A,49,49 kg Women,0,0,582,19th Asian Games,2023-09-30,-75,75,-78,75,98,-101,-101,98,173
NA,NA,NA,SANIKUN Tanasan,14733,1994-12-23,28.8,W,THA,A,48.84,49 kg Women,0,0,582,19th Asian Games,2023-09-30,-85,85,-88,85,-103,-103,-103,NA,NA
9,NA,NA,HARIROH Siti Nafisatul,6422,2001-04-14,22.5,W,INA,B,48.37,49 kg Women,0,0,582,19th Asian Games,2023-09-30,69,72,74,74,89,92,-94,92,166
10,NA,NA,DZHUMABAYEVA Yulduz,4621,1998-04-22,25.4,W,TKM,B,49,49 kg Women,0,0,582,19th Asian Games,2023-09-30,68,-71,-71,68,88,91,-93,91,159
11,NA,NA,ABDYKALYKOVA Ainur,150,1999-12-18,23.8,W,KAZ,B,48.77,49 kg Women,0,0,582,19th Asian Games,2023-09-30,63,66,68,68,78,81,-84,81,149
12,NA,NA,BATNASAN Tungalag,1983,1999-07-07,24.2,W,MGL,B,48.05,49 kg Women,0,0,582,19th Asian Games,2023-09-30,-62,62,65,65,78,81,-84,81,146
NA,NA,NA,SUZUKI Rira,16060,1998-09-06,25.1,W,JPN,B,48.7,49 kg Women,0,0,582,19th Asian Games,2023-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,KANG Hyon Gyong,7852,1999-02-16,24.6,W,PRK,A,54.97,55 kg Women,0,0,582,19th Asian Games,2023-09-30,96,100,103,103,120,125,130,130,233
2,NA,NA,RI Su Yon,13916,1996-11-01,26.9,W,PRK,A,53.13,55 kg Women,0,0,582,19th Asian Games,2023-09-30,93,96,-98,96,116,121,126,126,222
3,NA,NA,HOU Zhihui,6870,1997-03-18,26.5,W,CHN,A,50.7,55 kg Women,0,0,582,19th Asian Games,2023-09-30,90,95,-97,95,110,115,NA,115,210
4,NA,NA,CHEN Guan-Ling,3275,2005-01-28,18.7,W,TPE,A,54.89,55 kg Women,0,0,582,19th Asian Games,2023-09-30,-90,90,-93,90,108,-111,-111,108,198
5,NA,NA,SOROKHAIBAM Bindyarani Devi,15696,1999-01-27,24.7,W,IND,A,54.14,55 kg Women,0,0,582,19th Asian Games,2023-09-30,80,-83,83,83,109,-113,113,113,196
6,NA,NA,ABDULLAEVA Nigora,114,2004-05-13,19.4,W,UZB,A,55,55 kg Women,0,0,582,19th Asian Games,2023-09-30,-83,83,87,87,103,106,108,108,195
7,NA,NA,PANFILOVA Jamila,12664,2003-11-02,19.9,W,UZB,A,54.48,55 kg Women,0,0,582,19th Asian Games,2023-09-30,83,86,88,88,100,104,-106,104,192
8,NA,NA,YU Wonju,18082,1994-05-01,29.4,W,KOR,A,55,55 kg Women,0,0,582,19th Asian Games,2023-09-30,82,85,87,87,100,104,-108,104,191
9,NA,NA,KLARISA Juliana,8504,2002-07-29,21.2,W,INA,A,54.22,55 kg Women,0,0,582,19th Asian Games,2023-09-30,78,80,82,82,103,-107,-107,103,185
10,NA,NA,KAEWNOI Natcha,7759,2006-03-26,17.5,W,THA,A,54.48,55 kg Women,0,0,582,19th Asian Games,2023-09-30,73,76,78,78,93,97,100,100,178
NA,NA,NA,AISAH Windy Cantika,413,2002-06-11,21.3,W,INA,A,54.61,55 kg Women,0,0,582,19th Asian Games,2023-09-30,81,85,-88,85,-100,-100,-100,NA,NA
11,NA,NA,AKTHER Srity,474,1994-07-12,29.2,W,BAN,B,55,55 kg Women,0,0,582,19th Asian Games,2023-09-30,67,70,72,72,88,-92,-92,88,160
12,NA,NA,BUYANDELGER Erdenezul,2727,2004-01-20,19.7,W,MGL,B,50.82,55 kg Women,0,0,582,19th Asian Games,2023-09-30,-70,-70,70,70,80,85,87,87,157
13,NA,NA,GURUNG Tika Maya,6221,1997-03-08,26.6,W,NEP,B,53.9,55 kg Women,0,0,582,19th Asian Games,2023-09-30,-60,-60,60,60,80,86,-90,86,146
14,NA,NA,DARI Subreen,3970,1987-02-03,36.7,W,PLE,B,55,55 kg Women,0,0,582,19th Asian Games,2023-09-30,57,59,-61,59,-74,74,-77,74,133
1,NA,NA,KIM Il Gyong,8351,2003-07-27,20.2,W,PRK,A,59,59 kg Women,0,0,582,19th Asian Games,2023-09-30,103,107,111,111,127,132,135,135,246
