total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,TEPULOLO Numi Junior Samasoni,16412,2004-03-22,19.5,M,NZL,A,155.39,+109 kg Men,0,0,584,Oceania Junior Championships,2023-10-05,-135,135,-140,135,170,180,-190,180,315
2,3,2,FAIMANIFO Fomai,4994,2005-01-01,18.8,M,SAM,A,136.06,+109 kg Men,0,0,584,Oceania Junior Championships,2023-10-05,-105,-105,105,105,132,140,-145,140,245
3,2,3,UTIA Kutea,17000,2003-11-07,19.9,M,TAH,A,122.99,+109 kg Men,0,0,584,Oceania Junior Championships,2023-10-05,105,-110,-110,105,-130,-130,130,130,235
4,4,4,TURAGASAU Jordan,16826,2006-02-22,17.6,M,FIJ,A,137.23,+109 kg Men,0,0,584,Oceania Junior Championships,2023-10-05,70,75,-80,75,95,100,-110,100,175
1,1,1,SAVOU Sinate A S,14879,2008-02-11,15.6,W,FIJ,A,104.87,+87 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,50,53,55,55,65,-70,-70,65,120
1,1,1,TOATELEGESE Lauina,16539,2007-08-26,16.1,M,SAM,A,97.87,102 kg Men,0,0,584,Oceania Junior Championships,2023-10-05,100,-105,105,105,131,-140,-146,131,236
1,1,1,WRIGHT Emma Elizabeth Jane,17733,1991-12-28,31.8,M,NZL,A,108.8,109 kg Men,0,0,584,Oceania Junior Championships,2023-10-05,123,130,-134,130,163,171,-176,171,301
1,1,1,WRIGHT Emma Elizabeth Jane,17734,1991-12-28,31.8,W,NZL,A,108.8,109 kg Men,0,0,584,Oceania Junior Championships,2023-10-05,123,130,-134,130,163,171,-176,171,301
1,1,1,DOURA Peter Ezekiel,4492,2004-12-23,18.8,M,PNG,A,52.39,55 kg Men,0,0,584,Oceania Junior Championships,2023-10-05,58,-62,62,62,-80,80,-85,80,142
1,1,1,MAELOSIA Lorah,9989,2006-11-21,16.9,W,SOL,A,54.87,55 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,70,-75,-75,70,84,87,92,92,162
2,2,2,STEPHEN My-Only,15838,2006-05-22,17.4,W,NRU,A,54.89,55 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,68,70,-73,70,85,88,91,91,161
3,3,3,VAGI Idau,17029,2006-03-27,17.5,W,PNG,A,52.78,55 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,60,-65,65,65,70,75,-78,75,140
4,4,4,FAUMUI Anoni,5084,2006-01-01,17.8,W,SAM,A,54.34,55 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,55,59,62,62,67,71,-75,71,133
1,1,1,WINI Shirmara,17676,2005-03-11,18.6,W,SOL,A,58.48,59 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,71,73,76,76,87,91,94,94,170
2,2,2,DEIRERAGEA Jo-Beth,4152,2007-12-25,15.8,W,NRU,A,58.07,59 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,65,67,-70,67,75,-80,-80,75,142
3,3,3,ENOKA Marina,4830,2008-11-19,14.9,W,SAM,A,57.32,59 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,56,60,-64,60,67,72,75,75,135
1,1,1,TAFI Falevaa,16152,2006-11-10,16.9,M,SAM,A,60.06,61 kg Men,0,0,584,Oceania Junior Championships,2023-10-05,75,79,81,81,95,-100,100,100,181
1,1,2,WALKER Samantha Jay,17461,2007-05-02,16.4,W,AUS,A,64,64 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,80,-84,84,84,85,90,-94,90,174
2,2,1,HAYMAN Nya Phebe,6528,2005-05-14,18.4,W,AUS,A,63.86,64 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,-75,75,-78,75,90,95,-100,95,170
3,4,4,JOUFOQUES Kealani,7657,2003-02-23,20.6,W,TAH,A,63.38,64 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,-65,-65,65,65,-78,78,-80,78,143
4,3,6,LUAMATA Filiamata,9822,2008-03-24,15.5,W,SAM,A,63.11,64 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,63,66,-68,66,71,-76,76,76,142
5,5,3,KEREN BROOKE BIRANNA ATERU Vulava,8134,2008-05-22,15.4,W,FIJ,A,63.78,64 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,57,61,-64,61,-78,-78,80,80,141
6,6,5,MILAH Dinh,10889,2008-07-04,15.3,W,VAN,A,63.1,64 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,-57,57,61,61,70,74,78,78,139
7,7,7,TUEN Kitele,16789,2003-12-31,19.8,W,TUV,A,62.75,64 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,57,-61,-61,57,67,71,-73,71,128
1,1,1,IKA Ditto Titus,7141,2006-07-30,17.2,M,NRU,A,66.58,67 kg Men,0,0,584,Oceania Junior Championships,2023-10-05,110,115,-118,115,148,154,NA,154,269
2,2,2,HALFORTY Kieran,6305,2004-09-22,19,M,NZL,A,66.51,67 kg Men,0,0,584,Oceania Junior Championships,2023-10-05,-92,92,95,95,120,-125,-125,120,215
3,3,3,SEUAO Faitasia,15107,2008-04-16,15.5,M,SAM,A,66.38,67 kg Men,0,0,584,Oceania Junior Championships,2023-10-05,77,81,85,85,95,-105,105,105,190
4,5,4,VOLAVOLA Atalo Dimuri Iowane,17388,2007-05-14,16.4,M,FIJ,A,65.36,67 kg Men,0,0,584,Oceania Junior Championships,2023-10-05,65,68,-70,68,90,94,100,100,168
5,4,5,SANELE AH Donai,14722,2008-04-23,15.5,M,SAM,A,65.17,67 kg Men,0,0,584,Oceania Junior Championships,2023-10-05,70,74,-77,74,85,90,-95,90,164
1,1,1,DUNCAN Rachel,4573,2003-03-29,20.5,W,NZL,A,70.8,71 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,80,83,85,85,104,-111,111,111,196
2,2,2,POWER Maddison,13320,2003-07-07,20.2,W,AUS,A,70.76,71 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,79,82,-85,82,100,103,-106,103,185
3,3,4,TALETAWA Miriama,16223,2005-03-16,18.6,W,FIJ,A,70.35,71 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,73,-76,78,78,98,102,-105,102,180
4,4,3,BLOOM Layla Leah,2348,2005-07-29,18.2,W,AUS,A,69.74,71 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,71,75,-77,75,98,-103,103,103,178
5,5,5,FESOLAI Sienna Taema,5205,2005-08-14,18.1,W,NZL,A,69.64,71 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,69,72,74,74,94,98,-100,98,172
6,6,6,ATANTAAKE Merean,1534,2005-02-21,18.6,W,MHL,A,70.2,71 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,72,-76,-76,72,90,95,-98,95,167
NA,NA,NA,STOWERS Seine,15880,2008-04-30,15.4,W,SAM,A,69.89,71 kg Women,0,0,584,Oceania Junior Championships,2023-10-05,-76,-76,-76,NA,NA,NA,NA,NA,NA
1,2,2,TEIMITSI Spartan,16394,2007-07-30,16.2,M,NRU,A,69.54,73 kg Men,0,0,584,Oceania Junior Championships,2023-10-05,80,83,86,86,100,105,110,110,196
2,3,1,VAAFUTI Logo,17020,2005-04-01,18.5,M,SAM,A,72.58,73 kg Men,0,0,584,Oceania Junior Championships,2023-10-05,-81,81,-84,81,105,110,115,115,196
