total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,LITI David Andrew,9500,1996-07-11,27.4,M,NZL,A,182.15,+109 kg Men,0,0,586,PACIFIC GAMES + OCEANIA CHAMPIONSHIPS,2023-11-20,-176,176,182,182,216,223,NA,223,405
2,2,2,MAO Sanele,10173,1985-09-09,38.2,M,SAM,A,134.85,+109 kg Men,0,0,586,PACIFIC GAMES + OCEANIA CHAMPIONSHIPS,2023-11-20,-175,175,-183,175,220,-224,-228,220,395
3,3,3,FAAMAUSILI-FALA Malachi David,4928,2001-08-08,22.3,M,NZL,A,136.7,+109 kg Men,0,0,586,PACIFIC GAMES + OCEANIA CHAMPIONSHIPS,2023-11-20,150,-155,-156,150,175,-180,180,180,330
4,4,5,MICHEL Kyle Hisakichi,10768,1989-06-29,34.4,M,NCL,A,117.3,+109 kg Men,0,0,586,PACIFIC GAMES + OCEANIA CHAMPIONSHIPS,2023-11-20,125,130,135,135,155,160,165,165,300
5,5,4,COLISAO Joey Mendiola,3618,2002-01-01,21.9,M,NMI,A,127.65,+109 kg Men,0,0,586,PACIFIC GAMES + OCEANIA CHAMPIONSHIPS,2023-11-20,126,131,-136,131,160,165,-169,165,296
6,6,6,FAIMANIFO Fomai,4945,2005-01-01,18.9,M,SAM,A,139.85,+109 kg Men,0,0,586,PACIFIC GAMES + OCEANIA CHAMPIONSHIPS,2023-11-20,105,110,114,114,140,145,150,150,264
1,2,1,SIPAIA Iuniarra,15366,1993-06-25,30.4,W,SAM,A,141.25,+87 kg Women,0,0,586,PACIFIC GAMES + OCEANIA CHAMPIONSHIPS,2023-11-20,102,107,-112,107,145,-153,-158,145,252
2,1,2,FIAPULE Lesila,5165,2001-10-22,22.1,W,SAM,A,122.9,+87 kg Women,0,0,586,PACIFIC GAMES + OCEANIA CHAMPIONSHIPS,2023-11-20,99,104,108,108,-130,131,135,135,243
3,3,3,NIMO Susana,11877,1996-03-13,27.7,W,NZL,A,101.6,+87 kg Women,0,0,586,PACIFIC GAMES + OCEANIA CHAMPIONSHIPS,2023-11-20,-98,-98,98,98,112,117,121,121,219
4,4,4,EDWARDS Ramsi,4619,2006-09-28,17.1,W,NIU,A,115.15,+87 kg Women,0,0,586,PACIFIC GAMES + OCEANIA CHAMPIONSHIPS,2023-11-20,-73,73,79,79,90,95,-100,95,174
1,1,1,OPELOGE Don,12247,1999-05-13,24.5,M,SAM,A,101.45,102 kg Men,0,0,586,PACIFIC GAMES + OCEANIA CHAMPIONSHIPS,2023-11-20,165,-173,-173,165,205,214,-220,214,379
2,3,2,VAKURUIVALU Timothy Victor Tuitoga,16908,1999-09-16,24.2,M,FIJ,A,101.9,102 kg Men,0,0,586,PACIFIC GAMES + OCEANIA CHAMPIONSHIPS,2023-11-20,110,115,-117,115,133,137,-140,137,252
3,2,3,METUA Tahiri,10738,1986-01-01,37.9,M,TAH,A,101,102 kg Men,0,0,586,PACIFIC GAMES + OCEANIA CHAMPIONSHIPS,2023-11-20,112,-116,116,116,-135,135,-137,135,251
4,4,4,GAROMO John Milton,5526,2002-01-13,21.9,M,SOL,A,100.65,102 kg Men,0,0,586,PACIFIC GAMES + OCEANIA CHAMPIONSHIPS,2023-11-20,86,90,92,92,116,120,-123,120,212
5,5,5,AQUINO Mallik,1292,2005-02-19,18.8,M,PLW,A,100.1,102 kg Men,0,0,586,PACIFIC GAMES + OCEANIA CHAMPIONSHIPS,2023-11-20,75,-83,-86,75,90,95,-103,95,170
1,1,1,RAINIBOGI Taniela Tuisuva,13472,1998-04-19,25.6,M,FIJ,A,107.2,109 kg Men,0,0,586,PACIFIC GAMES + OCEANIA CHAMPIONSHIPS,2023-11-20,157,165,-170,165,192,-205,-207,192,357
2,2,2,LYDEMENT Matthew Ryan,9838,1994-01-15,29.8,M,AUS,A,109,109 kg Men,0,0,586,PACIFIC GAMES + OCEANIA CHAMPIONSHIPS,2023-11-20,-150,150,152,152,177,181,-185,181,333
