total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,TUMUKUNDE Daniel,16522,2007-01-01,16.8,M,UGA,A,135.15,+102 kg Men,0,0,588,African Youth Championships,2023-10-26,85,90,100,100,110,120,-130,120,220
1,1,1,YAHIA MAMOUN Amina,17520,2006-11-28,16.9,W,ALG,A,104.2,+81 kg Women,0,0,588,African Youth Championships,2023-10-26,80,-86,-86,80,95,-103,103,103,183
1,1,1,SAYED Ben Tamer,14628,2006-01-01,17.8,M,ALG,A,101.3,102 kg Men,0,0,588,African Youth Championships,2023-10-26,110,115,-120,115,135,140,146,146,261
2,2,2,ALBAOUR Hisham,653,2006-01-01,17.8,M,LBA,A,97.55,102 kg Men,0,0,588,African Youth Championships,2023-10-26,85,91,100,100,115,125,130,130,230
1,1,1,GUNAIDY Basma Ramadan Abdelwahab,6050,2009-07-21,14.3,W,EGY,A,44.55,45 kg Women,0,0,588,African Youth Championships,2023-10-26,-52,52,56,56,68,74,78,78,134
1,1,1,ABDELMOAMNEN Shetawy,71,2007-01-01,16.8,M,ALG,A,49,49 kg Men,0,0,588,African Youth Championships,2023-10-26,-70,70,75,75,-85,90,95,95,170
2,2,2,QANAW Mahmoud,13221,2010-01-01,13.8,M,LBA,A,48.8,49 kg Men,0,0,588,African Youth Championships,2023-10-26,40,47,51,51,50,57,61,61,112
1,1,1,ABDELFATTAH Habiba Saad Madih,62,2007-08-30,16.2,W,EGY,A,48.3,49 kg Women,0,0,588,African Youth Championships,2023-10-26,68,71,74,74,76,81,-84,81,155
2,2,2,DRESS Enass,4423,2008-01-01,15.8,W,ALG,A,49,49 kg Women,0,0,588,African Youth Championships,2023-10-26,50,-55,55,55,60,65,67,67,122
1,2,1,MOHAMED ISLAM Tewarry,10888,2008-01-01,15.8,M,ALG,A,54.5,55 kg Men,0,0,588,African Youth Championships,2023-10-26,76,80,-82,80,100,103,106,106,186
2,1,2,AMAN ALLAH Brini,1045,2007-01-01,16.8,M,TUN,A,54.6,55 kg Men,0,0,588,African Youth Championships,2023-10-26,72,76,81,81,101,-106,-107,101,182
1,1,1,BEJAOUI Israa,2021,2006-02-03,17.7,W,TUN,A,54.5,55 kg Women,0,0,588,African Youth Championships,2023-10-26,65,67,73,73,86,-89,-91,86,159
2,2,2,BADAOUI Camelia,1664,2003-01-01,20.8,W,ALG,A,52.5,55 kg Women,0,0,588,African Youth Championships,2023-10-26,-46,-46,46,46,56,62,-64,62,108
1,1,1,NDOLO Madeleine Jacquette Ndolo,11588,2008-01-01,15.8,W,CMR,A,58.65,59 kg Women,0,0,588,African Youth Championships,2023-10-26,-57,60,66,66,75,80,-85,80,146
2,2,2,GOPAUL Yuktee,5807,2006-01-01,17.8,W,MRI,A,56.1,59 kg Women,0,0,588,African Youth Championships,2023-10-26,45,-55,55,55,60,-66,-66,60,115
1,1,1,SHALABI Kamal,14891,2006-01-01,17.8,M,LBA,A,60.1,61 kg Men,0,0,588,African Youth Championships,2023-10-26,87,91,-94,91,105,112,118,118,209
2,2,2,MEJE Boy,10504,2006-01-01,17.8,M,RSA,A,60.05,61 kg Men,0,0,588,African Youth Championships,2023-10-26,83,87,-90,87,106,113,-120,113,200
1,1,1,ELSAYED Hanin Ahmed Mohamed Ahmed,4678,2006-01-01,17.8,W,EGY,A,61.75,64 kg Women,0,0,588,African Youth Championships,2023-10-26,-80,81,85,85,100,104,NA,104,189
2,2,2,NONTOMBANE Adrianne,11810,2006-01-01,17.8,W,RSA,A,62.95,64 kg Women,0,0,588,African Youth Championships,2023-10-26,53,57,-60,57,63,68,-72,68,125
1,1,1,KHALED SOUHAIL Okcini,8041,2006-01-01,17.8,M,ALG,A,66.8,67 kg Men,0,0,588,African Youth Championships,2023-10-26,90,-95,95,95,115,-120,-121,115,210
2,2,2,ALBAOUR Abdulmalik,652,2007-01-01,16.8,M,LBA,A,66.55,67 kg Men,0,0,588,African Youth Championships,2023-10-26,87,92,-95,92,106,112,-117,112,204
1,1,1,ELKADY Amira Mohamed Abdelrahman Ibrahim,4660,2006-03-25,17.6,W,EGY,A,69.5,71 kg Women,0,0,588,African Youth Championships,2023-10-26,83,87,90,90,100,105,-110,105,195
2,2,2,ELFEKY Menna Hamed Mohamed Elsayed,4645,2009-02-02,14.7,W,EGY,A,67.5,71 kg Women,0,0,588,African Youth Championships,2023-10-26,65,70,72,72,80,85,88,88,160
3,3,3,BO ABDALLA Doaa,2302,2007-01-01,16.8,W,ALG,A,68,71 kg Women,0,0,588,African Youth Championships,2023-10-26,-65,65,71,71,75,82,86,86,157
1,1,1,AYOUB Djabri,1614,2007-01-01,16.8,M,ALG,B,72.2,73 kg Men,0,0,588,African Youth Championships,2023-10-26,100,107,-113,107,125,132,-138,132,239
2,2,2,ABDELHAMID Ouhsine,66,2008-01-01,15.8,M,ALG,B,71.9,73 kg Men,0,0,588,African Youth Championships,2023-10-26,100,106,-111,106,120,-130,-130,120,226
1,1,1,HASSAN Rinad Mohamed Hassan Maghrabi,6370,2006-09-02,17.1,W,EGY,A,74.75,76 kg Women,0,0,588,African Youth Championships,2023-10-26,85,90,-93,90,105,-110,-110,105,195
1,1,1,BELHOUT Abderrahmane,2051,2006-01-01,17.8,M,ALG,A,79.5,81 kg Men,0,0,588,African Youth Championships,2023-10-26,105,-112,-115,105,130,138,-143,138,243
1,1,1,ELKADY Amira Mohamed Abdelrahman Ibrahim,4660,2006-03-25,17.6,W,EGY,A,76.3,81 kg Women,0,0,588,African Youth Championships,2023-10-26,90,100,NA,100,112,NA,NA,112,212
