total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,2,CHAIDEE Duangaksorn,3106,1997-08-11,25.8,W,THA,A,115.09,+71 kg Women,0,0,591,32nd SEA Games,2023-05-13,115,120,122,122,104,-148,148,148,270
2,2,1,AKMAL Nurul,455,1993-02-12,30.2,W,INA,A,124.9,+71 kg Women,0,0,591,32nd SEA Games,2023-05-13,105,111,115,115,143,148,-156,148,263
3,3,3,PHA Si Ro,12940,1994-07-18,28.8,W,VIE,A,107.99,+71 kg Women,0,0,591,32nd SEA Games,2023-05-13,98,102,106,106,126,135,140,140,246
4,4,4,MACROHON Kristel,9889,1996-09-02,26.7,W,PHI,A,73.08,+71 kg Women,0,0,591,32nd SEA Games,2023-05-13,95,-101,101,101,120,-125,-125,120,221
1,2,1,TRAN Dinh Thang,16552,1999-05-03,24,M,VIE,A,104.95,+89 kg Men,0,0,591,32nd SEA Games,2023-05-13,-148,150,-155,150,196,-209,209,209,359
2,1,2,PANYA Rungsuriya,12585,2000-03-19,23.2,M,THA,A,128.83,+89 kg Men,0,0,591,32nd SEA Games,2023-05-13,150,155,-157,155,195,200,203,203,358
3,3,3,YAN Myo Kyaw,17731,1999-05-27,24,M,MYA,A,123.04,+89 kg Men,0,0,591,32nd SEA Games,2023-05-13,120,-140,140,140,160,-182,NA,160,300
4,4,4,SORN Pou,15572,2000-05-01,23,M,CAM,A,96.45,+89 kg Men,0,0,591,32nd SEA Games,2023-05-13,95,-99,100,100,110,113,117,117,217
1,2,1,ZIN May Oo,18230,1999-02-15,24.2,W,MYA,A,44.21,45 kg Women,0,0,591,32nd SEA Games,2023-05-13,65,-70,71,71,81,90,93,93,164
2,3,2,COLONIA Angeline,3626,2006-05-22,17,W,PHI,A,44.55,45 kg Women,0,0,591,32nd SEA Games,2023-05-13,-68,68,-71,68,-80,80,-83,80,148
3,5,3,PHONGSAKONE Bouakham,12970,2001-11-24,21.5,W,LAO,A,44.77,45 kg Women,0,0,591,32nd SEA Games,2023-05-13,-50,51,-55,51,67,-70,71,71,122
4,4,4,BORIN Seng,2423,1998-10-08,24.6,W,CAM,A,44.26,45 kg Women,0,0,591,32nd SEA Games,2023-05-13,47,50,55,55,55,60,63,63,118
NA,1,NA,KAMNOEDSRI Khemika,7772,2005-01-20,18.3,W,THA,A,44.79,45 kg Women,0,0,591,32nd SEA Games,2023-05-13,69,-71,72,72,-85,-85,-85,NA,NA
1,1,1,SANIKUN Tanasan,14618,1994-12-23,28.4,W,THA,A,48.96,49 kg Women,0,0,591,32nd SEA Games,2023-05-13,83,-86,86,86,100,105,-108,105,191
2,2,2,INAN Lovely,7129,2004-09-13,18.7,W,PHI,A,48.97,49 kg Women,0,0,591,32nd SEA Games,2023-05-13,-78,78,-80,78,96,-100,100,100,178
3,3,3,WIJAYANA Luluk Diana Tri,17495,2005-08-09,17.8,W,INA,A,47.95,49 kg Women,0,0,591,32nd SEA Games,2023-05-13,74,-78,78,78,85,95,-97,95,173
4,4,4,SIDEK Liyana Safiah,15232,1995-01-22,28.3,W,BRU,A,48.91,49 kg Women,0,0,591,32nd SEA Games,2023-05-13,-53,53,-56,53,67,-71,-71,67,120
5,5,5,POCH Tan,13087,1994-08-03,28.8,W,CAM,A,47.75,49 kg Women,0,0,591,32nd SEA Games,2023-05-13,50,-53,-53,50,55,58,-63,58,108
NA,NA,NA,TRAN Thi My Dung,16560,1996-11-04,26.5,W,VIE,A,48.71,49 kg Women,0,0,591,32nd SEA Games,2023-05-13,-79,-79,-79,NA,NA,NA,NA,NA,NA
1,1,1,LAI Gia Thanh,9000,1998-05-03,25,M,VIE,A,54.92,55 kg Men,0,0,591,32nd SEA Games,2023-05-13,116,119,121,121,-140,140,-149,140,261
2,2,2,SOMBOON-UAN Thada,15542,2000-11-03,22.5,M,THA,A,54.95,55 kg Men,0,0,591,32nd SEA Games,2023-05-13,115,-118,118,118,130,-144,-144,130,248
3,3,3,MUHAMMAD Husin,11328,2005-05-02,18,M,INA,A,53.71,55 kg Men,0,0,591,32nd SEA Games,2023-05-13,100,113,-117,113,-120,120,-136,120,233
4,5,4,"NASOD Thy",11642,2002-08-13,20.7,M,LAO,A,54.52,55 kg Men,0,0,591,32nd SEA Games,2023-05-13,-80,-80,80,80,101,-105,106,106,186
5,4,5,SEYHA Pich,15001,2000-08-19,22.7,M,CAM,A,54.33,55 kg Men,0,0,591,32nd SEA Games,2023-05-13,-80,81,-85,81,100,104,-107,104,185
1,2,1,KLARISA Juliana,8434,2002-07-29,20.8,W,INA,A,54.7,55 kg Women,0,0,591,32nd SEA Games,2023-05-13,78,-81,81,81,102,-105,105,105,186
2,3,2,FAUSTINO Rosalinda,5038,2007-06-17,15.9,W,PHI,A,54.01,55 kg Women,0,0,591,32nd SEA Games,2023-05-13,77,-80,80,80,95,104,-107,104,184
