total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,2,1,ASAAD Man,1432,1993-11-20,30.2,M,SYR,A,157.8,+109 kg Men,0,0,592,Asian Championships,2024-02-03,192,-200,-200,192,237,252,NA,252,444
2,1,2,MINASYAN Gor,10732,1994-10-25,29.3,M,BRN,A,152.4,+109 kg Men,0,0,592,Asian Championships,2024-02-03,201,207,-212,207,236,-242,-242,236,443
3,4,3,RUBAIAWI Ali Ammar Yusur,14054,2004-08-02,19.5,M,IRQ,A,129.9,+109 kg Men,0,0,592,Asian Championships,2024-02-03,191,-199,-199,191,220,231,234,234,425
4,3,4,DJANGABAEV Rustam,4290,1993-08-25,30.4,M,UZB,A,167.4,+109 kg Men,0,0,592,Asian Championships,2024-02-03,185,-191,192,192,222,-232,232,232,424
NA,NA,NA,JO Seongbin,7436,1994-10-19,29.3,M,KOR,A,139.6,+109 kg Men,0,0,592,Asian Championships,2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,5,MURAKAMI Eishiro,11292,1995-08-08,28.5,M,JPN,B,148,+109 kg Men,0,0,592,Asian Championships,2024-02-03,183,188,190,190,225,231,-235,231,421
6,6,6,DONG Bing-Cheng,4355,2000-03-20,23.9,M,TPE,B,116.7,+109 kg Men,0,0,592,Asian Championships,2024-02-03,-172,172,176,176,-211,215,-220,215,391
7,7,7,ALNAJJAR M Moayad,911,2000-02-22,23.9,M,UAE,B,157,+109 kg Men,0,0,592,Asian Championships,2024-02-03,167,173,-177,173,203,-215,-219,203,376
8,9,8,BHANDARI Sagar,2209,2001-11-07,22.2,M,NEP,B,125,+109 kg Men,0,0,592,Asian Championships,2024-02-03,125,-132,-132,125,165,-171,171,171,296
NA,8,NA,CHINEN Kosuke,3340,1996-01-06,28.1,M,JPN,B,154.2,+109 kg Men,0,0,592,Asian Championships,2024-02-03,160,-170,-175,160,NA,NA,NA,NA,NA
NA,NA,NA,TOYCHYYEV Hojamuhammet,16386,1992-01-16,32,M,TKM,B,152.5,+109 kg Men,0,0,592,Asian Championships,2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,PARK Hyejeong,12518,2003-03-12,20.9,W,KOR,A,134.5,+87 kg Women,0,0,592,Asian Championships,2024-02-03,118,123,128,128,160,165,-171,165,293
2,2,2,SON Younghee,15399,1993-04-24,30.8,W,KOR,A,119.6,+87 kg Women,0,0,592,Asian Championships,2024-02-03,-120,122,127,127,160,-169,-169,160,287
3,4,3,AKMAL Nurul,450,1993-02-12,31,W,INA,A,125.5,+87 kg Women,0,0,592,Asian Championships,2024-02-03,105,110,-113,110,140,143,149,149,259
4,3,4,JABBOROVA Tursunoy,7184,2002-03-04,21.9,W,UZB,A,101.5,+87 kg Women,0,0,592,Asian Championships,2024-02-03,112,116,-120,116,136,142,-145,142,258
5,5,5,WANG Ling Chen,17195,2003-06-19,20.6,W,TPE,A,112.6,+87 kg Women,0,0,592,Asian Championships,2024-02-03,-110,-110,110,110,135,-143,-144,135,245
1,1,1,DJURAEV Akbar,4293,1999-10-08,24.3,M,UZB,A,101.7,102 kg Men,0,0,592,Asian Championships,2024-02-03,175,180,-183,180,214,-219,220,220,400
2,5,2,RASULBEKOV Bekdoolot,13481,1996-09-12,27.4,M,KGZ,A,101.7,102 kg Men,0,0,592,Asian Championships,2024-02-03,165,170,173,173,208,213,-218,213,386
3,2,3,CHEN Po-Jen,3231,1998-05-11,25.7,M,TPE,A,101.5,102 kg Men,0,0,592,Asian Championships,2024-02-03,-176,176,-181,176,206,-215,-215,206,382
4,4,4,DAVRANBEK Hasanbayev,3956,2000-12-24,23.1,M,TKM,A,101.1,102 kg Men,0,0,592,Asian Championships,2024-02-03,-175,175,-181,175,190,-200,NA,190,365
5,8,5,ALRUWEAI Mohammad D Z F A,958,1996-03-01,27.9,M,KUW,A,101.7,102 kg Men,0,0,592,Asian Championships,2024-02-03,120,126,-129,126,153,-160,162,162,288
