total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,2,1,BOUAMR Bilal,2422,2004-03-03,19.9,M,MAR,A,122.2,+109 kg Men,0,0,593,African Championships,2024-02-05,145,152,-160,152,185,-190,-192,185,337
NA,1,NA,BIDANI Walid,2223,1994-06-11,29.7,M,ALG,A,151,+109 kg Men,0,0,593,African Championships,2024-02-05,190,197,203,203,-222,-222,-222,NA,NA
NA,NA,NA,ELSAYED Abdelrahman Mohamed A. A.,4676,1989-05-19,34.7,M,EGY,A,142.3,+109 kg Men,0,0,593,African Championships,2024-02-05,-157,-157,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,KAGISO Bokang Alphius,7615,1997-03-30,26.9,M,BOT,A,116.4,+109 kg Men,0,0,593,African Championships,2024-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,ABBAS Halima Abdelazim Sedky,25,1995-05-05,28.8,W,EGY,A,145.1,+87 kg Women,0,0,593,African Championships,2024-02-05,117,-121,-121,117,145,-150,-150,145,262
2,2,2,MOMENI Estelle Adele,10985,1993-11-15,30.2,W,CMR,A,94.1,+87 kg Women,0,0,593,African Championships,2024-02-05,82,87,-91,87,101,108,-112,108,195
3,3,3,YAHIA MAMOUN Amina,17520,2006-11-28,17.2,W,ALG,A,108.2,+87 kg Women,0,0,593,African Championships,2024-02-05,80,-85,86,86,-100,100,-106,100,186
4,4,4,ZEINEB Naoui,17919,2008-01-01,16.1,W,TUN,A,87.85,+87 kg Women,0,0,593,African Championships,2024-02-05,75,81,-86,81,90,-95,-95,90,171
1,2,1,SALEM Yasser Usama Hemdan Mohamed,14336,2002-06-09,21.7,M,EGY,A,100.35,102 kg Men,0,0,593,African Championships,2024-02-05,163,167,-171,167,201,208,-215,208,375
2,1,2,HASSAN Mahmoud Hosny Elsayed,6365,2005-09-04,18.4,M,EGY,A,98.3,102 kg Men,0,0,593,African Championships,2024-02-05,162,166,170,170,200,-208,-208,200,370
3,5,4,REEDERS Christoffel Frederik,13531,1990-10-06,33.3,M,RSA,A,100.65,102 kg Men,0,0,593,African Championships,2024-02-05,123,-130,-133,123,155,161,-169,161,284
NA,3,NA,TOUAIRI Aymen,16367,1998-09-11,25.4,M,ALG,A,102,102 kg Men,0,0,593,African Championships,2024-02-05,-160,160,-165,160,NA,NA,NA,NA,NA
NA,4,NA,BURGER Ruben,2627,1991-03-03,32.9,M,RSA,A,101.1,102 kg Men,0,0,593,African Championships,2024-02-05,-130,130,-135,130,-160,-160,-160,NA,NA
NA,NA,3,NGADJA NYABEYEU Junior Periclex,11634,1993-06-16,30.6,M,CMR,A,101.4,102 kg Men,0,0,593,African Championships,2024-02-05,-161,-161,-161,NA,190,-201,-201,190,NA
1,1,1,ABDALLA Ragab Abdelhay Saad A.,42,1991-03-04,32.9,M,EGY,A,104.65,109 kg Men,0,0,593,African Championships,2024-02-05,160,165,-173,165,190,-205,-205,190,355
2,2,2,MAIK LAHAMADI EZZEDINE,9870,2000-02-17,24,M,TUN,A,107.75,109 kg Men,0,0,593,African Championships,2024-02-05,-140,140,150,150,160,-170,NA,160,310
NA,NA,NA,BACHA Aymen,1657,1999-10-26,24.3,M,TUN,A,103.5,109 kg Men,0,0,593,African Championships,2024-02-05,-173,-173,-173,NA,NA,NA,NA,NA,NA
1,1,1,KATBI Nadia,7862,2002-06-26,21.6,W,ALG,A,45,45 kg Women,0,0,593,African Championships,2024-02-05,50,55,-58,55,-65,-65,65,65,120
1,1,1,RANDAFIARISON Rosina,13452,1999-12-29,24.1,W,MAD,A,47.2,49 kg Women,0,0,593,African Championships,2024-02-05,70,74,-78,74,90,95,-100,95,169
2,3,2,FAJRESLAM Maha,4894,2003-04-07,20.8,W,MAR,A,48.9,49 kg Women,0,0,593,African Championships,2024-02-05,-66,66,68,68,80,-86,86,86,154
3,2,3,ELTANTAWY Nedal Mohamed Ali Ibrahim,4687,2005-09-14,18.4,W,EGY,A,48.95,49 kg Women,0,0,593,African Championships,2024-02-05,65,69,73,73,75,80,-83,80,153
NA,4,NA,BEN WADA Tasnim,2085,2006-01-01,18.1,W,TUN,A,49,49 kg Women,0,0,593,African Championships,2024-02-05,60,65,-67,65,-80,-81,-82,NA,NA
