total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,LALAYAN Varazdat,9015,1999-05-01,24.8,M,ARM,A,152.5,+109 kg Men,0,0,594,European Championships,2024-02-12,200,205,-210,205,240,250,NA,250,455
2,3,2,MARTIROSYAN Simon,10343,1997-02-17,27,M,ARM,A,130.2,+109 kg Men,0,0,594,European Championships,2024-02-12,190,-200,-200,190,241,247,-255,247,437
3,2,3,ZIAZIULIN Eduard,18215,1998-10-29,25.3,M,AIN,A,146.8,+109 kg Men,0,0,594,European Championships,2024-02-12,195,-200,-200,195,235,-240,241,241,436
4,4,4,SEIM Mart,14891,1990-10-24,33.3,M,EST,A,153.1,+109 kg Men,0,0,594,European Championships,2024-02-12,180,185,-188,185,225,-237,NA,225,410
5,6,6,TURMANIDZE Bakari,16714,1995-03-29,28.9,M,GEO,A,168.3,+109 kg Men,0,0,594,European Championships,2024-02-12,175,-181,-183,175,215,NA,NA,215,390
6,7,5,HANZENKO Oleh,6337,1999-12-10,24.2,M,UKR,A,162,+109 kg Men,0,0,594,European Championships,2024-02-12,170,174,-179,174,210,216,-220,216,390
NA,5,NA,KUCERA Kamil,8796,1985-03-19,38.9,M,CZE,A,157,+109 kg Men,0,0,594,European Championships,2024-02-12,175,-180,-182,175,-221,-221,-225,NA,NA
NA,NA,NA,TALAKHADZE Lasha,16091,1993-10-02,30.4,M,GEO,A,176,+109 kg Men,0,0,594,European Championships,2024-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,COULLET Anthony Jean Pierre,3717,1997-01-10,27.1,M,FRA,A,153.8,+109 kg Men,0,0,594,European Championships,2024-02-12,-162,-167,-167,NA,NA,NA,NA,NA,NA
7,8,8,LITVINOV David,9506,1993-09-23,30.4,M,ISR,B,135.05,+109 kg Men,0,0,594,European Championships,2024-02-12,160,165,169,169,200,-205,206,206,375
8,10,7,"NAGY Peter",11525,1986-01-16,38.1,M,HUN,B,161.6,+109 kg Men,0,0,594,European Championships,2024-02-12,160,-165,167,167,201,207,-212,207,374
9,9,10,KUWORGE Enzo Kofi,8907,2001-08-31,22.5,M,NED,B,169.2,+109 kg Men,0,0,594,European Championships,2024-02-12,160,165,168,168,202,NA,NA,202,370
10,11,9,ATHANASIOU Ioannis,1529,1994-06-18,29.7,M,GRE,B,153.8,+109 kg Men,0,0,594,European Championships,2024-02-12,161,166,-169,166,200,204,-206,204,370
11,12,11,HOLME Ragnar Gamlestoel,6741,2001-06-19,22.7,M,NOR,B,137.4,+109 kg Men,0,0,594,European Championships,2024-02-12,155,160,-165,160,185,195,NA,195,355
12,14,12,MACURA Vladimir,9891,2005-01-08,19.1,M,SVK,B,144.9,+109 kg Men,0,0,594,European Championships,2024-02-12,154,158,-162,158,-182,182,189,189,347
13,13,13,KESKITALO Hanno Matias,8081,2003-07-01,20.6,M,FIN,B,144,+109 kg Men,0,0,594,European Championships,2024-02-12,155,160,-163,160,180,186,-190,186,346
14,15,14,RAJIC Krizan,13492,1996-12-20,27.1,M,CRO,B,137.7,+109 kg Men,0,0,594,European Championships,2024-02-12,140,-146,-146,140,170,-180,-180,170,310
NA,NA,NA,KAJDOCI Tamas,7712,1997-04-21,26.8,M,SRB,B,139.2,+109 kg Men,0,0,594,European Championships,2024-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1,CAMPBELL Emily,2857,1994-05-06,29.8,W,GBR,A,129.8,+87 kg Women,0,0,594,European Championships,2024-02-12,112,-116,-116,112,146,151,NA,151,263
2,1,2,HOTFRID Anastasiia,6806,1996-04-25,27.8,W,GEO,A,100.13,+87 kg Women,0,0,594,European Championships,2024-02-12,111,115,117,117,128,133,140,140,257
3,4,3,CEVIK Fatmagul,3090,2005-10-05,18.4,W,TUR,A,109.68,+87 kg Women,0,0,594,European Championships,2024-02-12,-103,103,107,107,125,129,131,131,238
4,3,5,KISIL Valentyna,8413,1998-07-05,25.6,W,UKR,A,100.76,+87 kg Women,0,0,594,European Championships,2024-02-12,104,106,108,108,126,-129,-130,126,234
