total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,CERRO CASTILLO Rafael De Jesus,3081,1997-05-16,26.8,M,COL,A,134.25,+109 kg Men,0,0,596,Pan-American Championships,2024-02-24,-170,170,177,177,208,213,216,216,393
2,5,2,VIERA ESPINOZA Hernan Moises,17160,1993-01-16,31.1,M,PER,A,114.3,+109 kg Men,0,0,596,Pan-American Championships,2024-02-24,150,-155,-155,150,202,212,215,215,365
3,4,3,MEDINA ANDUEZA Josue Said,10560,1998-06-15,25.7,M,MEX,A,111.9,+109 kg Men,0,0,596,Pan-American Championships,2024-02-24,161,-166,-169,161,-200,200,-203,200,361
4,3,4,LEMUS CALANCHE Gilberto Antonio,9261,1994-02-04,30.1,M,GUA,A,128.75,+109 kg Men,0,0,596,Pan-American Championships,2024-02-24,160,-165,168,168,185,190,-195,190,358
5,2,5,ARROYO VALDEZ Dixon Bladimir,1412,1997-08-12,26.5,M,ECU,A,132.35,+109 kg Men,0,0,596,Pan-American Championships,2024-02-24,-160,165,170,170,181,NA,NA,181,351
6,6,6,MORALES PEREZ Rodrigo Antonio,11175,1998-07-21,25.6,M,ESA,A,130.85,+109 kg Men,0,0,596,Pan-American Championships,2024-02-24,-150,150,-154,150,175,180,-186,180,330
1,1,1,AYOVI CABEZAS Lisseth Betzaida,1634,1998-08-07,25.5,W,ECU,A,133.8,+87 kg Women,0,0,596,Pan-American Championships,2024-02-24,112,116,118,118,146,151,-158,151,269
2,2,2,PEREZ REVERON Naryury Alexandra,12861,1992-09-29,31.4,W,VEN,A,97.5,+87 kg Women,0,0,596,Pan-American Championships,2024-02-24,111,114,117,117,144,148,-152,148,265
3,3,3,PAVEZ MIRANDA Arantzazu Elizabeth A,12721,2004-11-23,19.3,W,CHI,A,117.55,+87 kg Women,0,0,596,Pan-American Championships,2024-02-24,100,105,-107,105,125,-130,130,130,235
4,4,4,ESPINOSA Yaniuska Isabel,4872,1986-12-05,37.2,W,VEN,A,104.8,+87 kg Women,0,0,596,Pan-American Championships,2024-02-24,100,-105,-106,100,125,-131,NA,125,225
5,5,5,UCELO MARROQUIN Scarleth Vanessa,16752,2000-04-07,23.9,W,GUA,A,108.05,+87 kg Women,0,0,596,Pan-American Championships,2024-02-24,75,80,85,85,105,110,115,115,200
NA,NA,NA,SANTANA PEGUERO Crismery Dominga,14644,1995-04-20,28.8,W,DOM,A,109.8,+87 kg Women,0,0,596,Pan-American Championships,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1,ARIAS MOSQUERA Jeyson Alonso,1355,1993-09-09,30.5,M,VEN,A,97.85,102 kg Men,0,0,596,Pan-American Championships,2024-02-24,163,-168,-169,163,200,207,212,212,375
2,1,3,GARCES FRANCO Oscar Andres,5477,1998-09-22,25.4,M,COL,A,101.9,102 kg Men,0,0,596,Pan-American Championships,2024-02-24,162,-166,168,168,201,-208,-208,201,369
3,3,2,SANGUINO MATAMOROS Jhohan David,14617,1998-12-01,25.2,M,VEN,A,101.6,102 kg Men,0,0,596,Pan-American Championships,2024-02-24,-162,-162,163,163,195,202,-207,202,365
NA,NA,NA,RIVAS MOSQUERA Jhonatan,13876,1998-07-11,25.6,M,COL,A,101.5,102 kg Men,0,0,596,Pan-American Championships,2024-02-24,-175,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,MENDOZA CARABALI Yeimar,10662,1996-09-02,27.5,M,COL,A,102.5,109 kg Men,0,0,596,Pan-American Championships,2024-02-24,140,150,152,152,190,NA,NA,190,342
2,2,2,CUEVAS IBORRA Nicolas Rodrigo,3788,2002-03-24,21.9,M,CHI,A,102.4,109 kg Men,0,0,596,Pan-American Championships,2024-02-24,140,145,151,151,170,180,-184,180,331
1,1,1,TOVAR MILANO Victoria Nazareth,16532,2003-02-14,21,W,VEN,A,44.45,45 kg Women,0,0,596,Pan-American Championships,2024-02-24,65,68,-70,68,80,83,87,87,155
2,2,2,MARTINEZ ROSALES Mariangeli Irene,10327,2003-10-21,20.3,W,VEN,A,43.75,45 kg Women,0,0,596,Pan-American Championships,2024-02-24,62,-65,-65,62,82,-87,-88,82,144
1,1,2,LOPEZ FERRER Ana Gabriela,9643,1994-09-22,29.4,W,MEX,A,49,49 kg Women,0,0,596,Pan-American Championships,2024-02-24,80,84,86,86,-99,99,102,102,188
2,2,1,ECHANDIA ZARATE Katherin Oriana,4604,2001-08-14,22.5,W,VEN,A,48.85,49 kg Women,0,0,596,Pan-American Championships,2024-02-24,81,83,-85,83,102,-106,-106,102,185
