total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,VEKUA Irakli,17081,2007-03-02,17.2,M,GEO,A,153.6,+102 kg Men,0,0,600,IWF World Youth Championships,2024-05-22,146,149,151,151,187,196,-200,196,347
2,2,2,OLIMOV Omadillo,12175,2007-01-14,17.4,M,UZB,A,135.5,+102 kg Men,0,0,600,IWF World Youth Championships,2024-05-22,142,146,150,150,186,195,-198,195,345
3,7,3,KE Guan-Ting,8012,2007-06-22,16.9,M,TPE,A,139,+102 kg Men,0,0,600,IWF World Youth Championships,2024-05-22,135,139,142,142,180,185,190,190,332
4,8,4,HOLOVANOV Vladyslav,6745,2007-10-15,16.6,M,UKR,A,136.4,+102 kg Men,0,0,600,IWF World Youth Championships,2024-05-22,137,141,-145,141,176,181,186,186,327
5,3,5,DARSAVELIDZE Givi,3937,2007-10-23,16.6,M,GEO,A,144.8,+102 kg Men,0,0,600,IWF World Youth Championships,2024-05-22,141,145,147,147,173,-178,179,179,326
6,4,7,ASKAROV Yedil,1491,2007-12-12,16.4,M,KAZ,A,121.25,+102 kg Men,0,0,600,IWF World Youth Championships,2024-05-22,-137,137,144,144,166,174,-183,174,318
7,6,6,GURMERIC Omer,6155,2007-05-03,17.1,M,TUR,A,118.75,+102 kg Men,0,0,600,IWF World Youth Championships,2024-05-22,-137,137,142,142,170,175,-179,175,317
8,5,9,BIYIK Arda,2298,2009-04-24,15.1,M,TUR,A,147.28,+102 kg Men,0,0,600,IWF World Youth Championships,2024-05-22,-137,137,143,143,-172,-173,173,173,316
9,9,8,MKRTCHYAN Gagik,10939,2007-02-02,17.3,M,ARM,A,145.25,+102 kg Men,0,0,600,IWF World Youth Championships,2024-05-22,135,-140,140,140,-173,173,-178,173,313
10,11,10,URREGO GUTIERREZ Jose Ricardo,16830,2007-01-08,17.4,M,COL,A,127.7,+102 kg Men,0,0,600,IWF World Youth Championships,2024-05-22,128,132,-135,132,162,167,-172,167,299
11,10,12,GARCIA RODRIGUES Jose Francisco,5507,2007-02-23,17.2,M,ESP,A,115.4,+102 kg Men,0,0,600,IWF World Youth Championships,2024-05-22,132,-138,138,138,160,-165,-165,160,298
12,12,11,ALMOHSIN Muntathir Moayad A,905,2007-01-16,17.3,M,KSA,A,105.58,+102 kg Men,0,0,600,IWF World Youth Championships,2024-05-22,-120,120,126,126,162,-166,-167,162,288
13,13,13,RIVERA FEBRE Raul Alejandro,13886,2007-03-11,17.2,M,PUR,A,127.25,+102 kg Men,0,0,600,IWF World Youth Championships,2024-05-22,90,95,100,100,115,121,125,125,225
NA,NA,NA,SCHUSTER Isyss,14828,2007-07-24,16.8,M,NZL,A,121.4,+102 kg Men,0,0,600,IWF World Youth Championships,2024-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,LOVE Etta Mae,9702,2007-08-28,16.7,W,CAN,A,128.99,+81 kg Women,0,0,600,IWF World Youth Championships,2024-05-22,100,105,-109,105,126,132,138,138,243
2,4,2,BILLEN Angel,2266,2007-09-17,16.7,W,CAN,A,110.09,+81 kg Women,0,0,600,IWF World Youth Championships,2024-05-22,90,-94,94,94,117,120,125,125,219
3,6,4,MANCILLA MONTANO Karen Dayanna,10099,2008-01-10,16.4,W,COL,A,108,+81 kg Women,0,0,600,IWF World Youth Championships,2024-05-22,85,88,91,91,108,113,117,117,208
4,2,6,MENDOZA SALAZAR Barbara Nazaret,10672,2008-06-30,15.9,W,VEN,A,97.85,+81 kg Women,0,0,600,IWF World Youth Championships,2024-05-22,88,92,95,95,109,112,-115,112,207
5,5,5,KOZAK Sofiia,8701,2007-10-19,16.6,W,UKR,A,84.07,+81 kg Women,0,0,600,IWF World Youth Championships,2024-05-22,91,-94,-95,91,110,114,-118,114,205
6,7,3,SU Sheng-Ci,15803,2009-04-04,15.1,W,TPE,A,113.26,+81 kg Women,0,0,600,IWF World Youth Championships,2024-05-22,80,84,87,87,110,115,118,118,205
7,3,7,"NACAGILEVU Litia Sipola",11501,2007-09-29,16.6,W,NZL,A,85.04,+81 kg Women,0,0,600,IWF World Youth Championships,2024-05-22,90,94,-97,94,105,110,NA,110,204
8,8,8,KING Mollie,8371,2008-01-14,16.4,W,NZL,A,111.87,+81 kg Women,0,0,600,IWF World Youth Championships,2024-05-22,78,82,84,84,97,-101,105,105,189
9,9,9,CASTRO NAZARENO Thaira Eliana,3016,2009-09-01,14.7,W,ECU,A,81.47,+81 kg Women,0,0,600,IWF World Youth Championships,2024-05-22,78,81,-85,81,90,94,97,97,178
10,10,10,PRANTS Inger Iris,13238,2009-07-15,14.9,W,EST,A,90.87,+81 kg Women,0,0,600,IWF World Youth Championships,2024-05-22,-65,-65,65,65,76,80,-83,80,145
11,11,11,TERRONES MIRANDA Danna Cristina,16297,2007-05-03,17.1,W,PER,A,81.9,+81 kg Women,0,0,600,IWF World Youth Championships,2024-05-22,54,58,-61,58,63,67,71,71,129
1,1,3,JAFAROV Suleyman,7278,2007-04-22,17.1,M,TKM,A,100.56,102 kg Men,0,0,600,IWF World Youth Championships,2024-05-22,137,141,143,143,165,-170,170,170,313
2,4,1,SHAMMAA Ahmad,15047,2007-01-01,17.4,M,SYR,A,96.12,102 kg Men,0,0,600,IWF World Youth Championships,2024-05-22,134,139,-142,139,-169,171,174,174,313
3,3,2,MAHMOUD GABR Mashal Omar,9954,2007-06-21,16.9,M,EGY,A,101,102 kg Men,0,0,600,IWF World Youth Championships,2024-05-22,130,136,140,140,161,-170,170,170,310
4,2,4,TKESHELASHVILI Jaba,16409,2008-06-01,16,M,GEO,A,101.06,102 kg Men,0,0,600,IWF World Youth Championships,2024-05-22,-135,135,141,141,162,-168,168,168,309
5,6,6,ALQAISOOM Abdullah Ali A,947,2007-10-02,16.6,M,KSA,A,100.7,102 kg Men,0,0,600,IWF World Youth Championships,2024-05-22,131,-138,138,138,162,-168,-170,162,300
