total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,VEKUA Irakli,17325,2007-03-02,17.3,M,GEO,A,153.45,+102 kg Men,0,0,602,European Youth Championships,2024-06-15,145,150,152,152,185,191,-197,191,343
2,4,2,HOLOVANOV Vladyslav,6852,2007-10-15,16.7,M,UKR,A,138.3,+102 kg Men,0,0,602,European Youth Championships,2024-06-15,137,142,145,145,177,182,184,184,329
3,3,3,DARSAVELIDZE Givi,4002,2007-05-20,17.1,M,GEO,A,146.7,+102 kg Men,0,0,602,European Youth Championships,2024-06-15,140,145,-149,145,172,178,183,183,328
4,2,4,ALTIN Selahattin,1017,2007-10-01,16.7,M,TUR,A,133.75,+102 kg Men,0,0,602,European Youth Championships,2024-06-15,141,146,-151,146,172,-178,-178,172,318
5,5,6,GARCIA RODRIGUES Jose Francisco,5597,2007-02-23,17.3,M,ESP,A,116.65,+102 kg Men,0,0,602,European Youth Championships,2024-06-15,-135,135,140,140,162,167,171,171,311
6,6,5,GURMERIC Omer,6255,2007-05-03,17.1,M,TUR,A,117.35,+102 kg Men,0,0,602,European Youth Championships,2024-06-15,-135,136,-142,136,165,171,-173,171,307
7,7,8,PAVLOV Pavel,12918,2008-10-10,15.7,M,BUL,A,107.75,+102 kg Men,0,0,602,European Youth Championships,2024-06-15,120,-125,125,125,-147,-147,147,147,272
8,9,7,DANILEVICS Eriks,3981,2007-05-06,17.1,M,LAT,A,121.2,+102 kg Men,0,0,602,European Youth Championships,2024-06-15,110,-114,115,115,143,148,-158,148,263
9,11,9,MATEJKA Jan,10555,2007-12-30,16.5,M,CZE,A,104.1,+102 kg Men,0,0,602,European Youth Championships,2024-06-15,-109,109,-113,109,-138,138,143,143,252
10,10,10,HORVAT Filip,6896,2007-09-20,16.7,M,SVK,A,106,+102 kg Men,0,0,602,European Youth Championships,2024-06-15,106,111,-115,111,133,138,-141,138,249
NA,8,NA,ALMONTE VINA Orestes Junior,919,2007-01-02,17.5,M,ESP,A,120.5,+102 kg Men,0,0,602,European Youth Championships,2024-06-15,115,-120,120,120,-145,-145,-145,NA,NA
1,1,1,KOZAK Sofiia,8833,2007-10-19,16.7,W,UKR,A,85.6,+81 kg Women,0,0,602,European Youth Championships,2024-06-15,89,92,95,95,106,113,120,120,215
2,2,2,GOK Hilal,5838,2007-06-05,17,W,TUR,A,81.15,+81 kg Women,0,0,602,European Youth Championships,2024-06-15,82,85,-88,85,93,97,99,99,184
3,4,3,APAYDIN Berranur,1292,2007-08-27,16.8,W,TUR,A,86.6,+81 kg Women,0,0,602,European Youth Championships,2024-06-15,70,73,75,75,92,96,98,98,173
4,5,4,STYCZYSZYN Oliwia,16026,2007-03-23,17.2,W,POL,A,81.75,+81 kg Women,0,0,602,European Youth Championships,2024-06-15,66,71,73,73,92,-97,98,98,171
5,3,5,ARAKELYAN Nare,1323,2011-11-03,12.6,W,ARM,A,87.2,+81 kg Women,0,0,602,European Youth Championships,2024-06-15,70,74,76,76,90,-94,-95,90,166
6,6,6,AHMED Amira,383,2008-10-21,15.7,W,GRE,A,86.35,+81 kg Women,0,0,602,European Youth Championships,2024-06-15,61,-67,70,70,80,90,-93,90,160
7,8,7,HUSEYNLI Malak,7088,2008-04-30,16.1,W,AZE,A,89,+81 kg Women,0,0,602,European Youth Championships,2024-06-15,50,56,-59,56,70,75,-78,75,131
8,7,8,VALCHEVA Krasimira,17156,2008-05-29,16,W,BUL,A,84.7,+81 kg Women,0,0,602,European Youth Championships,2024-06-15,-55,55,58,58,69,72,-75,72,130
9,9,9,SKOUFITSA Eirini Maria,15642,2007-11-21,16.6,W,GRE,A,91.05,+81 kg Women,0,0,602,European Youth Championships,2024-06-15,-53,53,-57,53,-63,63,-71,63,116
1,1,1,SCHWARZER Constantin Alois,15043,2007-06-12,17,M,GER,A,101,102 kg Men,0,0,602,European Youth Championships,2024-06-15,135,140,-146,140,160,164,172,172,312
2,2,4,JABKIEWICZ Oliver,7380,2007-05-22,17.1,M,POL,A,101.7,102 kg Men,0,0,602,European Youth Championships,2024-06-15,130,135,-139,135,-155,155,160,160,295
3,3,5,CINLAR Ali Osman,3619,2007-05-29,17,M,TUR,A,101.2,102 kg Men,0,0,602,European Youth Championships,2024-06-15,130,-134,134,134,155,159,-162,159,293
4,4,6,KIRVALIDZE Davit,8536,2007-07-25,16.9,M,GEO,A,101.5,102 kg Men,0,0,602,European Youth Championships,2024-06-15,128,133,-135,133,158,-163,-163,158,291
5,7,2,MASKOV Simeon,10530,2007-01-06,17.4,M,BUL,A,100.85,102 kg Men,0,0,602,European Youth Championships,2024-06-15,121,126,-129,126,154,-161,162,162,288
6,6,7,CHMYKH Volodymyr,3476,2008-07-28,15.9,M,UKR,A,101.5,102 kg Men,0,0,602,European Youth Championships,2024-06-15,127,131,-134,131,-155,155,-163,155,286
7,5,8,HOVHANNISYAN Harutyun,6924,2008-01-07,16.4,M,ARM,A,101.55,102 kg Men,0,0,602,European Youth Championships,2024-06-15,126,132,-134,132,147,-156,-156,147,279
8,8,3,PRUIDZE Nika,13500,2007-02-02,17.4,M,GEO,A,101.45,102 kg Men,0,0,602,European Youth Championships,2024-06-15,112,-117,117,117,147,156,161,161,278
9,9,9,PAPADOPOULOS Andreas,12774,2007-07-13,16.9,M,GRE,A,101.6,102 kg Men,0,0,602,European Youth Championships,2024-06-15,103,108,-112,108,130,140,-145,140,248
1,1,1,KOLCAK Fatma Sena,8676,2008-11-13,15.6,W,TUR,A,39.95,40 kg Women,0,0,602,European Youth Championships,2024-06-15,50,53,-57,53,60,NA,NA,60,113
2,2,2,WALESA Julia,17570,2007-02-13,17.3,W,POL,A,39.75,40 kg Women,0,0,602,European Youth Championships,2024-06-15,45,47,-49,47,57,-61,-61,57,104
3,4,3,BABAYAN Kristine,1692,2010-02-17,14.3,W,ARM,A,39.55,40 kg Women,0,0,602,European Youth Championships,2024-06-15,43,46,-48,46,54,57,-59,57,103
4,3,5,LESZCZYNSKA Julia,9443,2008-07-25,15.9,W,POL,A,39.85,40 kg Women,0,0,602,European Youth Championships,2024-06-15,45,47,-49,47,55,-58,-58,55,102
5,6,4,TRYKUR Oleksandra,16840,2008-05-08,16.1,W,UKR,A,39.4,40 kg Women,0,0,602,European Youth Championships,2024-06-15,-45,-45,45,45,-55,55,57,57,102
6,5,6,ANTUNES Joana,1277,2008-01-30,16.4,W,POR,A,38.6,40 kg Women,0,0,602,European Youth Championships,2024-06-15,45,-48,-50,45,-55,-55,55,55,100
1,1,1,MALASHCHUK Kateryna,10181,2008-03-28,16.2,W,UKR,A,44.85,45 kg Women,0,0,602,European Youth Championships,2024-06-15,65,-68,68,68,74,-77,77,77,145
