total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,4,1,JIYONG Nam,7629,2004-12-02,19.8,M,KOR,A,135.74,+109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,155,160,-165,160,215,223,NA,223,383
2,1,2,KUROUSKI Robert,9017,2004-09-24,20,M,AIN,A,129.4,+109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,165,170,-175,170,201,209,212,212,382
3,5,3,MOVSISYAN Ashot,11448,2004-05-30,20.3,M,ARM,A,118.88,+109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,150,155,158,158,200,208,-210,208,366
4,2,7,ZIOLKOWSKI Szymon,18492,2004-11-09,19.9,M,POL,A,122.16,+109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,160,165,170,170,-186,190,195,195,365
5,6,4,VEKUA Irakli,17325,2007-03-02,17.6,M,GEO,A,155.78,+109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,152,-157,157,157,190,-197,201,201,358
6,10,5,GUGALA Marek Mateusz,6177,2005-03-15,19.5,M,POL,A,140.36,+109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,150,155,-158,155,190,197,-202,197,352
7,8,6,BIZAMA CONEJERO Alonso Javier,2335,2004-11-10,19.9,M,CHI,A,148.24,+109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,150,156,-162,156,185,195,-200,195,351
8,3,10,TEPULOLO Numi Junior Samasoni,16519,2004-03-22,20.5,M,NZL,A,152.66,+109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,-153,153,161,161,182,-190,-198,182,343
9,13,8,MARTINEZ ROBLEDO Jhon Mario,10481,2005-02-28,19.6,M,COL,A,133.42,+109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,150,-156,-157,150,-190,190,-195,190,340
10,7,9,AGHAEI Amirreza,307,2005-04-03,19.5,M,IRI,B,131.52,+109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,150,156,-160,156,-180,182,-187,182,338
11,12,11,ZHOLTAY Sanzhar,18434,2005-11-18,18.8,M,KAZ,B,132.62,+109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,142,147,151,151,180,-188,-188,180,331
12,9,14,CABRERA FACIO Antonio Manuel,2782,2004-07-04,20.2,M,MEX,B,117.64,+109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,150,155,-160,155,171,-177,-178,171,326
13,11,13,GRIJALVA BOJORQUEZ Cristian Jesus,6091,2006-06-15,18.3,M,MEX,B,124.6,+109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,145,151,-155,151,168,175,-180,175,326
14,14,15,FRIEDRICH Adam,5397,2005-08-13,19.1,M,CZE,B,121.2,+109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,138,-142,143,143,171,-176,-178,171,314
15,15,12,SCHUSTER Isyss,15040,2007-07-24,17.2,M,NZL,B,124.84,+109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,-135,135,-142,135,165,175,-180,175,310
NA,NA,NA,KAO Jia-Hui,7938,2005-05-23,19.3,M,TPE,B,153.68,+109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,NA,NA,NA,NA,-170,-180,-180,NA,NA
1,1,1,SARRIA RUIZ Marifelix,14932,2004-08-25,20.1,W,CUB,A,127.5,+87 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,108,111,115,115,146,151,155,155,270
2,5,2,LOVE Etta Mae,9850,2007-08-28,17.1,W,CAN,A,130.7,+87 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,105,108,-111,108,135,140,146,146,254
3,2,3,JUSTINO DE LIMA Taiane,7777,2004-02-16,20.6,W,BRA,A,130,+87 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,105,110,-112,110,136,141,NA,141,251
4,4,4,PAVEZ MIRANDA Arantzazu Elizabeth A,12910,2004-11-23,19.8,W,CHI,A,121.3,+87 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,100,106,109,109,125,132,137,137,246
5,3,6,TYSFOROD RIVAS Yairan Sofia,16976,2005-12-19,18.8,W,COL,A,123.7,+87 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,105,-109,110,110,120,130,135,135,245
6,6,5,MAIBAM Martina Devi,10115,2006-03-21,18.5,W,IND,A,108.2,+87 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,97,101,-104,101,131,136,-139,136,237
7,7,7,VRABCOVA Marketa,17524,2004-10-10,19.9,W,CZE,A,94.1,+87 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,75,81,85,85,90,-98,98,98,183
1,1,1,MATYAKUBOV Shahzadbek,10599,2004-03-01,20.6,M,TKM,A,101.96,102 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,170,175,-180,175,205,210,216,216,391
2,3,2,DE SOUZA PESSANHA Matheus,4150,2005-08-27,19.1,M,BRA,A,100.86,102 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,160,166,168,168,200,210,215,215,383
3,2,3,HASSAN Mahmoud Hosny Elsayed,6535,2005-09-04,19,M,EGY,A,100.34,102 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,160,166,169,169,200,-211,-212,200,369
4,4,4,MASKALEU Yemialyan,10529,2005-12-01,18.8,M,AIN,A,101.72,102 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,158,165,167,167,-185,185,-195,185,352
5,5,6,ESFANDIARI Mohammad,4941,2004-11-23,19.8,M,IRI,A,96.26,102 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,-152,152,162,162,181,-191,-191,181,343
6,6,10,ZIOLKOWSKI Marcin,18491,2006-10-27,17.9,M,POL,A,101.2,102 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,144,149,151,151,-175,175,-184,175,326
7,11,5,OKASHEV Temirlan,12306,2004-02-20,20.6,M,KAZ,A,101.94,102 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,135,140,-144,140,-175,175,183,183,323
8,7,11,GINEIKIS Neilas,5780,2005-10-13,18.9,M,LTU,A,101.18,102 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,145,150,-155,150,172,-177,-177,172,322
9,10,7,BETEKHTIN Danil,2249,2004-03-07,20.5,M,KAZ,A,101.74,102 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,136,-141,141,141,-171,171,180,180,321
10,8,9,LIN Jui-Li,9590,2005-07-20,19.2,M,TPE,A,96.82,102 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,135,140,145,145,170,175,-180,175,320
11,13,8,DZIAMSKI Kacper,4653,2005-03-29,19.5,M,POL,A,99.7,102 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,134,138,-141,138,170,175,178,178,316
12,12,12,SEVERO Jaxon,15213,2005-01-13,19.7,M,CAN,A,101.88,102 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,135,140,-145,140,-171,171,-178,171,311
13,9,13,KOLAR David,8669,2005-08-16,19.1,M,CZE,A,96.28,102 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,134,138,141,141,-168,168,-172,168,309
1,1,1,SAKOVICH Uladzislau,14640,2004-12-13,19.8,M,AIN,A,108.24,109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,165,-170,170,170,195,201,204,204,374
2,2,4,BURUN Muhammed Emin,2718,2004-10-02,20,M,TUR,A,108.76,109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,160,164,168,168,198,-204,-207,198,366
3,4,2,VEKUA Gurami,17324,2004-01-05,20.7,M,GEO,A,108.96,109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,156,159,162,162,195,200,-205,200,362
4,3,6,EMADI Hassan,4823,2004-12-15,19.8,M,IRI,A,107.72,109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,157,160,163,163,-191,191,-201,191,354
5,7,3,ALSALLAJ Asem Mousa Husam,991,2004-06-10,20.3,M,JOR,A,108.62,109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,148,155,-158,155,192,199,-204,199,354
6,6,5,DIAZ MERCADO Daniel David,4333,2004-02-10,20.6,M,COL,A,107.64,109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,151,-157,157,157,185,191,-196,191,348
7,8,7,VARIVODA Maxim,17265,2004-07-07,20.2,M,KAZ,A,104.86,109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,140,145,-150,145,170,171,179,179,324
8,9,8,GALAZ LANDEROS Eduardo,5487,2004-03-31,20.5,M,MEX,A,107.04,109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,130,137,142,142,165,172,-178,172,314
9,10,9,GARCIA RODRIGUES Jose Francisco,5597,2007-02-23,17.6,M,ESP,A,108.2,109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,130,-136,136,136,155,-160,160,160,296
NA,5,NA,CAGLAR Taner,2801,2004-10-04,20,M,TUR,A,108.9,109 kg Men,0,0,610,2024 IWF World Junior Championships,2024-09-19,-156,-157,158,158,-191,-191,NA,NA,NA
1,1,2,COLONIA Angeline,3683,2006-05-22,18.3,W,PHI,A,44.98,45 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,70,72,74,74,85,87,88,88,162
2,2,3,KAMNOEDSRI Khemika,7896,2005-01-20,19.7,W,THA,A,44.62,45 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,71,-73,73,73,84,87,-90,87,160
3,6,1,MIRON Ioana Madalina,11036,2005-01-05,19.7,W,ROU,A,44.64,45 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,62,66,-69,66,81,86,88,88,154
4,3,7,KILIC Ezgi,8375,2006-10-14,17.9,W,TUR,A,45,45 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,-70,70,-73,70,82,-85,-86,82,152
5,5,4,ESTRADA VELEZ Lawren Sofia,4974,2007-01-06,17.7,W,COL,A,44.16,45 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,62,65,68,68,80,84,-87,84,152
6,4,6,PAYAL,12932,2009-07-24,15.2,W,IND,A,45,45 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,65,68,-70,68,82,-85,-85,82,150
7,7,5,SAHIN Yagmur Melek,14595,2006-12-27,17.7,W,TUR,A,44.88,45 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,-65,65,-69,65,80,83,-86,83,148
8,8,8,VAZQUEZ LOPEZ Lorena,17307,2007-10-19,16.9,W,ESP,A,45,45 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,-62,62,64,64,73,77,-80,77,141
NA,NA,9,REYES LINARES Hana Valeria,13948,2006-01-27,18.6,W,MEX,A,43.94,45 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,-62,-62,-62,NA,-72,72,-76,72,NA
1,2,1,INAN Lovely,7242,2004-09-13,20,W,PHI,A,48.82,49 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,77,79,-81,79,97,100,-101,100,179
2,1,2,LOPEZ ALVAREZ Karoll Dahyanne,9774,2004-01-15,20.7,W,COL,A,49,49 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,76,78,80,80,-95,95,98,98,178
4,7,4,JUANG Yi-Ci,7726,2005-03-24,19.5,W,TPE,A,49,49 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,68,71,73,73,90,96,-99,96,169
10,13,14,HUANG Yi-Chen,7032,2005-10-25,18.9,W,TPE,A,48.66,49 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,67,-70,-70,67,-85,85,-90,85,152
NA,3,NA,MONTILLA MADRID Kerlys Maria,11300,2005-04-17,19.4,W,VEN,A,48.36,49 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,-76,76,-80,76,-93,-93,-95,NA,NA
NA,6,NA,DRZAZGA OLIWIA Weronika,4556,2005-05-17,19.3,W,POL,A,49,49 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,72,74,-76,74,NA,NA,NA,NA,NA
NA,NA,3,VONGHAJAK Naruemol,17514,2006-04-19,18.4,W,THA,A,48.2,49 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,-77,-77,-77,NA,97,-101,-101,97,NA
NA,NA,8,RAMIREZ RANGEL Jeannis Andrea,13748,2004-12-28,19.7,W,MEX,A,48.6,49 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,-74,-74,-75,NA,93,-96,-97,93,NA
3,4,5,GONZALEZ BORREGO Lucia,5916,2007-01-15,17.7,W,ESP,B,48.08,49 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,72,75,-78,75,92,95,-98,95,170
5,9,6,MORITA Rika,11376,2004-01-26,20.6,W,JPN,B,49,49 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,-68,68,71,71,90,93,95,95,166
6,5,9,RAMOS AMIS Rose Jean,13759,2005-11-06,18.9,W,PHI,B,48.42,49 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,71,-74,74,74,85,88,91,91,165
7,8,7,SONOWAL Panchami,15789,2005-05-05,19.4,W,IND,B,48.9,49 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,72,-75,-75,72,93,-96,-96,93,165
8,10,10,OLIVERA ASPAJO Katerin Tatiana,12364,2007-05-10,17.4,W,PER,B,48.88,49 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,68,-71,71,71,86,88,-90,88,159
9,11,12,GROULX Rebeka,6117,2006-01-04,18.7,W,CAN,B,48.88,49 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,67,70,-72,70,82,85,-88,85,155
11,14,11,CAMILLERI LAGANA Kim,2896,2008-04-01,16.5,W,MLT,B,49,49 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,64,-67,-67,64,84,86,-88,86,150
12,12,15,GOMEZ SOSA Evelyn,5890,2009-09-09,15,W,ESP,B,48.76,49 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,68,-70,-70,68,78,81,-83,81,149
13,15,13,BEN WADA Tasnim,2141,2006-09-24,18,W,TUN,B,49,49 kg Women,0,0,610,2024 IWF World Junior Championships,2024-09-19,58,61,63,63,78,83,85,85,148
